dataset,method,bin,dev,test
bbh,EMBED (RR),0,0.28696273720282833,3.347702852080557
bbh,EMBED (RR),1,0.29075830050364687,2.751614378580134
bbh,EMBED (RR),2,0.29577498275924613,2.8389081399326517
bbh,EMBED (RR),3,0.29433972915105616,3.078854274065918
bbh,EMBED (RR),4,0.2969328935407562,3.1621784756597773
bbh,EMBED (RR),5,0.302714595226226,2.8680109869516532
bbh,EMBED (RR),6,0.2985289482698764,3.2151476883371934
bbh,EMBED (RR),7,0.29633396137275814,3.470795286574171
bbh,EMBED (RR),8,0.2971094144439256,3.432805903060263
bbh,EMBED (RR),9,0.2962860293962337,3.7806631300402134
bbh,LESS (RR),0,0.2651765716526611,5.164127330047856
bbh,LESS (RR),1,0.2838592571148902,3.060782354738723
bbh,LESS (RR),2,0.2884897130920931,2.772200362960821
bbh,LESS (RR),3,0.2867299020290375,3.0500940823496405
bbh,LESS (RR),4,0.29693481103045705,3.072024244657769
bbh,LESS (RR),5,0.29631463199118036,3.1477044978974473
bbh,LESS (RR),6,0.2976035955419511,3.218527982076949
bbh,LESS (RR),7,0.30647955494530404,3.1618556107286118
bbh,LESS (RR),8,0.3094316578619642,3.449852310138224
bbh,LESS (RR),9,0.31001370687635593,3.602912061052596
bbh,RDS+ (RR),0,0.2753385913868745,4.063024539045613
bbh,RDS+ (RR),1,0.29155052706231305,2.9554563149285746
bbh,RDS+ (RR),2,0.2960226995939458,3.3015620044447314
bbh,RDS+ (RR),3,0.301917795781736,3.332630513505697
bbh,RDS+ (RR),4,0.3034295083977926,3.3373989112191147
bbh,RDS+ (RR),5,0.30398942746314,3.152688612693137
bbh,RDS+ (RR),6,0.2981343812274712,3.2217957866144262
bbh,RDS+ (RR),7,0.30147347137056013,3.0882166209418256
bbh,RDS+ (RR),8,0.29865021258592606,2.9532096750898087
bbh,RDS+ (RR),9,0.29630130246557573,3.227114907315828
codex,EMBED (RR),0,1.0518640130758286,1.078981304994306
codex,EMBED (RR),1,1.1153685040771961,1.084274284944341
codex,EMBED (RR),2,1.0347139090299606,1.01582069413082
codex,EMBED (RR),3,0.9875745661556721,0.9806269587495843
codex,EMBED (RR),4,1.0619138106703758,1.0387643967327234
codex,EMBED (RR),5,1.0932538770139217,1.0656841568447448
codex,EMBED (RR),6,1.0809303000569344,1.0505766393365086
