dataset,method,num_samples,dev,test,seed
bbh,EMBED (RR),500,0.2869357440482687,3.3474934189216348,0
bbh,EMBED (RR),500,0.28913805868338655,3.3152814149270684,1
bbh,EMBED (RR),500,0.28948141135459327,3.341986169744208,2
bbh,EMBED (RR),1000,0.28853942285993217,3.369760961860139,0
bbh,EMBED (RR),1000,0.2873396113928821,3.4045271537047967,1
bbh,EMBED (RR),1000,0.28714148378298604,3.4872246361139494,2
bbh,EMBED (RR),2500,0.28702876245441994,4.089530767209518,0
bbh,EMBED (RR),2500,0.285604130005303,4.130928759626338,1
bbh,EMBED (RR),2500,0.2859347022977876,4.03145749483162,2
bbh,EMBED (RR),5000,0.2837727822041438,4.2027633195098435,0
bbh,EMBED (RR),5000,0.28275373736741366,4.187274244757699,1
bbh,EMBED (RR),5000,0.2829202409994639,4.276457633108537,2
bbh,EMBED (RR),10000,0.27823556435328944,4.400572101067625,0
bbh,EMBED (RR),10000,0.27905970539345787,4.441435599213572,1
bbh,EMBED (RR),10000,0.2789032787234051,4.399872631498277,2
bbh,LESS (DG),500,0.2695447422656012,5.445085823448952,0
bbh,LESS (DG),500,0.2683881763828757,5.50542932540073,1
bbh,LESS (DG),500,0.26994227887027794,5.498615543874539,2
bbh,LESS (DG),1000,0.26582426987128494,5.461052749292804,0
bbh,LESS (DG),1000,0.2663976739126223,5.779808628396164,1
bbh,LESS (DG),1000,0.2660807372519263,5.624024240345546,2
bbh,LESS (DG),2500,0.2649971058730174,5.493859130365657,0
bbh,LESS (DG),2500,0.2639564132708826,5.4777329822662075,1
bbh,LESS (DG),2500,0.2642893804996102,5.474550494275652,2
bbh,LESS (DG),5000,0.2643977890802938,5.258498793908151,0
bbh,LESS (DG),5000,0.26340159504777855,5.1678277612684544,1
bbh,LESS (DG),5000,0.26430533330795575,5.383062351516197,2
bbh,LESS (DG),10000,0.26359846469382814,4.638588015224102,0
bbh,LESS (DG),10000,0.2635448481887579,5.012607611543003,1
bbh,LESS (DG),10000,0.2638093954941005,4.789408158970362,2
bbh,LESS (KNN-KDE),500,0.2691154830433704,5.446158776839305,0
bbh,LESS (KNN-KDE),500,0.26828284343175685,5.426048013301988,1
bbh,LESS (KNN-KDE),500,0.2687950322151552,5.489799592131899,2
bbh,LESS (KNN-KDE),1000,0.26597600331369003,5.707145834592534,0
bbh,LESS (KNN-KDE),1000,0.2661051313266342,5.588097547632523,1
bbh,LESS (KNN-KDE),1000,0.2664883667718113,5.6100511457390585,2
bbh,LESS (KNN-KDE),2500,0.26588353769922696,5.692095553073039,0
bbh,LESS (KNN-KDE),2500,0.26491805391363155,5.849088740104392,1
bbh,LESS (KNN-KDE),2500,0.2648591544870057,5.573524512145728,2
bbh,LESS (KNN-KDE),5000,0.26556859798959376,5.325944867840452,0
bbh,LESS (KNN-KDE),5000,0.2658442028188779,5.499756408472835,1
bbh,LESS (KNN-KDE),5000,0.26572958079891074,5.20846029446433,2
bbh,LESS (KNN-KDE),10000,0.2627468181682038,4.997581055299457,0
bbh,LESS (KNN-KDE),10000,0.26297157127870086,5.0042883975177,1
bbh,LESS (KNN-KDE),10000,0.26283673021114534,4.962763358326922,2
bbh,LESS (KNN-Unif.),500,0.27032913194026476,5.7347853495318155,0
bbh,LESS (KNN-Unif.),500,0.269810640471585,5.777982343430527,1
bbh,LESS (KNN-Unif.),500,0.27076019158149944,5.711207321594249,2
bbh,LESS (KNN-Unif.),1000,0.26625159201154736,5.775519477645477,0
bbh,LESS (KNN-Unif.),1000,0.2672225845816695,5.8128306233806,1
bbh,LESS (KNN-Unif.),1000,0.2655913336777393,5.710730870081118,2
bbh,LESS (KNN-Unif.),2500,0.26606999443453033,5.792635624570023,0
bbh,LESS (KNN-Unif.),2500,0.2657810964242176,5.8724917490038155,1
bbh,LESS (KNN-Unif.),2500,0.2651843636837087,5.902463099512888,2
bbh,LESS (KNN-Unif.),5000,0.2657595422854762,5.552654403797805,0
bbh,LESS (KNN-Unif.),5000,0.2659886833510281,5.501274835512287,1
bbh,LESS (KNN-Unif.),5000,0.2657682102656475,5.098412134921637,2
bbh,LESS (KNN-Unif.),10000,0.2639885808536668,5.14373621421006,0
bbh,LESS (KNN-Unif.),10000,0.2636613381543645,5.189819986517025,1
bbh,LESS (KNN-Unif.),10000,0.26488949943701795,4.920129588861067,2
bbh,LESS (RR),500,0.26563964543841134,5.194929283773124,0
bbh,LESS (RR),500,0.2660390178293542,5.089196303160468,1
bbh,LESS (RR),500,0.26630761771014444,5.044388240515371,2
bbh,LESS (RR),1000,0.26449365896621235,5.106876300476495,0
bbh,LESS (RR),1000,0.2657923442484052,5.145847162180023,1
bbh,LESS (RR),1000,0.26485025902267223,5.299903963677181,2
bbh,LESS (RR),2500,0.26185502919058007,5.467253077347841,0
bbh,LESS (RR),2500,0.26269867134360986,5.612849933149774,1
bbh,LESS (RR),2500,0.2613165439508947,5.415371193609888,2
bbh,LESS (RR),5000,0.26094473270055507,5.327301551199531,0
