dataset,method,num_samples,seed,true_metric
bbh,Random,500,0,38.01014934052626
bbh,Random,500,1,37.990914282451556
bbh,Random,500,2,32.47542536276703
bbh,Random,1000,0,38.52793043442846
bbh,Random,1000,1,38.46565608095002
bbh,Random,1000,2,37.66289978954285
bbh,Random,2500,0,38.85449014922346
bbh,Random,2500,1,40.06524473275643
bbh,Random,2500,2,39.137406301118055
bbh,Random,5000,0,40.30792266875889
bbh,Random,5000,1,39.65113478491056
bbh,Random,5000,2,39.54800192529099
bbh,Random,10000,0,40.93007570293196
bbh,Random,10000,1,39.78644489177676
bbh,Random,10000,2,40.752983233146914
bbh,EMBED (RR),500,0,41.60900818888849
bbh,EMBED (RR),500,1,41.459602510755516
bbh,EMBED (RR),500,2,41.37393139048926
bbh,EMBED (RR),1000,0,41.84649182661297
bbh,EMBED (RR),1000,1,41.36092409821642
bbh,EMBED (RR),1000,2,41.471386476864126
bbh,EMBED (RR),2500,0,41.85318131350779
bbh,EMBED (RR),2500,1,42.25224067795752
bbh,EMBED (RR),2500,2,41.970865258804494
bbh,EMBED (RR),5000,0,41.81058966746477
bbh,EMBED (RR),5000,1,42.33418586203673
bbh,EMBED (RR),5000,2,42.22904253720649
bbh,EMBED (RR),10000,0,41.76152341499967
bbh,EMBED (RR),10000,1,42.11840542032395
bbh,EMBED (RR),10000,2,41.69315153850278
bbh,RDS+ (RR),500,0,41.51765929537753
bbh,RDS+ (RR),500,1,41.57445855001467
bbh,RDS+ (RR),500,2,40.72808233963157
bbh,RDS+ (RR),1000,0,43.54451991538793
bbh,RDS+ (RR),1000,1,42.349643379443556
bbh,RDS+ (RR),1000,2,42.296791184730424
bbh,RDS+ (RR),2500,0,42.30671830407093
bbh,RDS+ (RR),2500,1,42.795009766227246
bbh,RDS+ (RR),2500,2,42.453582339585836
bbh,RDS+ (RR),5000,0,43.13040780922609
bbh,RDS+ (RR),5000,1,43.289116597318575
bbh,RDS+ (RR),5000,2,42.83923446484266
bbh,RDS+ (RR),10000,0,42.669143547612336
bbh,RDS+ (RR),10000,1,43.63786109304133
bbh,RDS+ (RR),10000,2,42.91157566728012
bbh,LESS (DG),500,0,39.509938474886994
bbh,LESS (DG),500,1,39.76737884081545
bbh,LESS (DG),500,2,39.2228608581568
bbh,LESS (DG),1000,0,39.80707801425055
bbh,LESS (DG),1000,1,40.12427089389307
bbh,LESS (DG),1000,2,40.31830388802022
bbh,LESS (DG),2500,0,41.49099132640495
bbh,LESS (DG),2500,1,40.44389314714261
bbh,LESS (DG),2500,2,40.91244789518924
bbh,LESS (DG),5000,0,41.3214468289263
bbh,LESS (DG),5000,1,41.89287832862696
bbh,LESS (DG),5000,2,42.07884678130313
bbh,LESS (DG),10000,0,42.14211172863944
bbh,LESS (DG),10000,1,42.03104430208705
bbh,LESS (DG),10000,2,42.34814792256145
bbh,LESS (UOT),500,0,40.15672816129497
bbh,LESS (UOT),500,1,39.78553350933364
bbh,LESS (UOT),500,2,39.87528928521423
bbh,LESS (UOT),1000,0,40.45467569123193
bbh,LESS (UOT),1000,1,39.89790055912883
bbh,LESS (UOT),1000,2,39.900920847938934
bbh,LESS (UOT),2500,0,40.85779390905559
bbh,LESS (UOT),2500,1,41.143043151716824
bbh,LESS (UOT),2500,2,41.180432878309716
bbh,LESS (UOT),5000,0,40.96967988607751
bbh,LESS (UOT),5000,1,41.8768876218233
bbh,LESS (UOT),5000,2,41.25692435160516
bbh,LESS (UOT),10000,0,42.10475887632584
bbh,LESS (UOT),10000,1,42.38237493587927
bbh,LESS (UOT),10000,2,41.996249115143804
bbh,LESS (RR),500,0,39.68165482351759
bbh,LESS (RR),500,1,40.21676909674447
bbh,LESS (RR),500,2,39.448710575409784
bbh,LESS (RR),1000,0,41.065686949745654
bbh,LESS (RR),1000,1,40.965531773535474
bbh,LESS (RR),1000,2,41.19504664050655
bbh,LESS (RR),2500,0,41.90492680428125
bbh,LESS (RR),2500,1,41.93701643853298
bbh,LESS (RR),2500,2,42.38857905775668
bbh,LESS (RR),5000,0,42.076975801833434
bbh,LESS (RR),5000,1,42.41865717812444
bbh,LESS (RR),5000,2,42.11857226912138
bbh,LESS (RR),10000,0,43.00992905206978
bbh,LESS (RR),10000,1,42.5341771617066
bbh,LESS (RR),10000,2,43.57322760267831
bbh,LESS (KNN-Unif.),500,0,39.192721170912016
bbh,LESS (KNN-Unif.),500,1,39.39980139225403
bbh,LESS (KNN-Unif.),500,2,39.44003909600338
bbh,LESS (KNN-Unif.),1000,0,39.79351016952443
bbh,LESS (KNN-Unif.),1000,1,39.64313727319277
bbh,LESS (KNN-Unif.),1000,2,40.300675299869496
bbh,LESS (KNN-Unif.),2500,0,40.189932388923786
bbh,LESS (KNN-Unif.),2500,1,41.43428757420012
bbh,LESS (KNN-Unif.),2500,2,40.623515321741635
bbh,LESS (KNN-Unif.),5000,0,41.643496773028055
bbh,LESS (KNN-Unif.),5000,1,41.48991093684844
bbh,LESS (KNN-Unif.),5000,2,41.170863100488525
bbh,LESS (KNN-Unif.),10000,0,42.454155341985924
bbh,LESS (KNN-Unif.),10000,1,42.50118187613321
bbh,LESS (KNN-Unif.),10000,2,41.1521744621655
bbh,LESS (KNN-KDE),500,0,38.88728567472965
bbh,LESS (KNN-KDE),500,1,39.29241702822269
bbh,LESS (KNN-KDE),500,2,38.623406198750466
bbh,LESS (KNN-KDE),1000,0,40.329734085414984
