dataset,method,bin,dev,test
bbh,EMBED (RR),0,0.38875453348880934,6.960278217143643
bbh,EMBED (RR),1,0.39690372632977405,5.836147334371143
bbh,EMBED (RR),2,0.40686582304813246,6.088854563907258
bbh,EMBED (RR),3,0.40048951977564967,6.356429054841086
bbh,EMBED (RR),4,0.40163527879817984,6.685084741697061
bbh,EMBED (RR),5,0.4008671306533578,6.425128763862843
bbh,EMBED (RR),6,0.4028520828779833,6.916728258380105
bbh,EMBED (RR),7,0.41147668448127345,6.944825175600911
bbh,EMBED (RR),8,0.40509142689866784,7.01626607272651
bbh,EMBED (RR),9,0.4111435871433329,6.94549330957766
bbh,LESS (RR),0,0.35499906820463545,8.612870742064104
bbh,LESS (RR),1,0.3749846449972671,6.29461149005567
bbh,LESS (RR),2,0.3833826218766195,5.921285109203398
bbh,LESS (RR),3,0.38945700844496856,6.205735021684049
bbh,LESS (RR),4,0.39401438611525075,6.4575271996058845
bbh,LESS (RR),5,0.41086491427303834,6.53945417490959
bbh,LESS (RR),6,0.4114681843806196,6.636667374480871
bbh,LESS (RR),7,0.41875088030909313,6.813319515063272
bbh,LESS (RR),8,0.4274060481492384,7.0789413270707175
bbh,LESS (RR),9,0.4239780953452911,6.850058041736106
bbh,RDS+ (RR),0,0.3681419381848824,7.891016693429049
bbh,RDS+ (RR),1,0.4049043935022236,6.209347661025622
bbh,RDS+ (RR),2,0.4048484284200786,6.017511563602451
bbh,RDS+ (RR),3,0.4014160790377193,5.9951858976674215
bbh,RDS+ (RR),4,0.3953517233883893,6.172785027897535
bbh,RDS+ (RR),5,0.3975982411224165,6.475250190628269
bbh,RDS+ (RR),6,0.4171944330503911,7.171261102295273
bbh,RDS+ (RR),7,0.4139968752861023,7.2522219157936645
bbh,RDS+ (RR),8,0.41521284186545715,7.4242451545592
bbh,RDS+ (RR),9,0.40216483506891465,6.916554230723471
codex,EMBED (RR),0,0.7953229695558548,0.9604996416617084
codex,EMBED (RR),1,0.7849285211414099,0.934694562006641
codex,EMBED (RR),2,0.7254721168428659,0.8814548853080015
codex,EMBED (RR),3,0.7300217226147652,0.8718233340092607
codex,EMBED (RR),4,0.7452209200710058,0.8769314716997985
codex,EMBED (RR),5,0.7007889710366726,0.8351987766454348
codex,EMBED (RR),6,0.6650007031857967,0.807084422357179
codex,EMBED (RR),7,0.6328892484307289,0.7769883906317724
codex,EMBED (RR),8,0.6338628269731998,0.7809077267711227
codex,EMBED (RR),9,0.6299116481095552,0.7745377990240986
codex,LESS (RR),0,0.7796183079481125,0.9155791047457102
codex,LESS (RR),1,0.6014712937176228,0.7511558242746301
codex,LESS (RR),2,0.6138180755078793,0.766991871232922
codex,LESS (RR),3,0.621813589707017,0.7769650563194945
codex,LESS (RR),4,0.6521592848002911,0.8025438354627507
codex,LESS (RR),5,0.6693771202117205,0.8153468574825171
codex,LESS (RR),6,0.6911690644919872,0.837404200756872
codex,LESS (RR),7,0.7073228228837252,0.848187221264517
codex,LESS (RR),8,0.7066241018474102,0.845399143325316
codex,LESS (RR),9,0.750019334256649,0.8889469996698804
codex,RDS+ (RR),0,0.7648684084415436,0.9163204450663682
codex,RDS+ (RR),1,0.7683480475097895,0.925385037286056
codex,RDS+ (RR),2,0.7398805636912584,0.900350687471596
codex,RDS+ (RR),3,0.7009228840470314,0.8481802685639342
codex,RDS+ (RR),4,0.6945288777351379,0.8266765586025006
codex,RDS+ (RR),5,0.6708841007202864,0.8087034803387281
codex,RDS+ (RR),6,0.7025390285998583,0.843862925630969
codex,RDS+ (RR),7,0.6364472359418869,0.7802844185482811
codex,RDS+ (RR),8,0.6674663797020912,0.8111533247739882
codex,RDS+ (RR),9,0.6694423016160727,0.8140193074941635
gsm8k,EMBED (RR),0,1.0810275226831436,8.64047213880468
gsm8k,EMBED (RR),1,1.1681631579995155,8.565810221627954
gsm8k,EMBED (RR),2,1.1906884461641312,8.574792776982653
gsm8k,EMBED (RR),3,1.1613760441541672,8.644268105299387
gsm8k,EMBED (RR),4,1.1457469910383224,9.317288392596936
gsm8k,EMBED (RR),5,1.1914737224578857,9.659031984388513
gsm8k,EMBED (RR),6,1.189766027033329,9.357810733714187
gsm8k,EMBED (RR),7,1.1728280261158943,8.924617483906895
gsm8k,EMBED (RR),8,1.2074605524539948,8.820667318180712
gsm8k,EMBED (RR),9,1.25850610435009,9.496124335542785
gsm8k,LESS (RR),0,0.9365919679403305,9.259164702087935
gsm8k,LESS (RR),1,1.1092122197151184,8.477438609648871
gsm8k,LESS (RR),2,1.1155534237623215,8.387389124479142
gsm8k,LESS (RR),3,1.1166866794228554,8.572312237910921
gsm8k,LESS (RR),4,1.1544584184885025,9.138295944031665
gsm8k,LESS (RR),5,1.1559039428830147,9.18883359025517
gsm8k,LESS (RR),6,1.1846137046813965,9.284535853405448
gsm8k,LESS (RR),7,1.2216416746377945,9.463248754288772
gsm8k,LESS (RR),8,1.2512585818767548,9.908886551585859
gsm8k,LESS (RR),9,1.2617476880550385,9.850177951433878
gsm8k,RDS+ (RR),0,1.0813093557953835,9.544051958449959
gsm8k,RDS+ (RR),1,1.1309778913855553,8.837752586607683
gsm8k,RDS+ (RR),2,1.1782008111476898,9.62674127698758
gsm8k,RDS+ (RR),3,1.1419473886489868,8.259677562684702
gsm8k,RDS+ (RR),4,1.1237691938877106,7.393349591306523
gsm8k,RDS+ (RR),5,1.1491766273975372,8.572604626936837
gsm8k,RDS+ (RR),6,1.19675862044096,9.668099887810303
gsm8k,RDS+ (RR),7,1.2619308829307556,9.78311629472491
gsm8k,RDS+ (RR),8,1.2854813784360886,10.08590823145325
gsm8k,RDS+ (RR),9,1.3089506402611732,9.54841892099272
mmlu_pro,EMBED (RR),0,2.0402659135205403,5.955406626706269
mmlu_pro,EMBED (RR),1,2.0123526803084784,5.712323634667283
mmlu_pro,EMBED (RR),2,2.0128926396369935,6.1878684223332305
mmlu_pro,EMBED (RR),3,1.9930362454482486,5.750383657442921
mmlu_pro,EMBED (RR),4,1.9955077137265886,5.961127925485848
mmlu_pro,EMBED (RR),5,1.9905465372971125,5.8598983951229995
mmlu_pro,EMBED (RR),6,2.0075857034751348,6.353211708505579
mmlu_pro,EMBED (RR),7,1.9888293964522226,5.823924346173063
mmlu_pro,EMBED (RR),8,2.023366661582674,6.414590152594796
mmlu_pro,EMBED (RR),9,2.012175112111228,5.237311107661338
mmlu_pro,LESS (RR),0,1.834500755582537,6.079917736727982
mmlu_pro,LESS (RR),1,1.929188985483987,5.029261613125972
mmlu_pro,LESS (RR),2,1.9514020715441023,5.254530681356629
mmlu_pro,LESS (RR),3,1.9849343878882273,5.339111106054104
mmlu_pro,LESS (RR),4,1.9910303413867951,5.6257324014849805
mmlu_pro,LESS (RR),5,2.005073661463601,6.144102602701714
mmlu_pro,LESS (RR),6,2.017002751997539,5.775739440218882
mmlu_pro,LESS (RR),7,2.0363119781017303,6.022502110953978
mmlu_pro,LESS (RR),8,2.054802257674081,6.700735071238051
mmlu_pro,LESS (RR),9,2.082556720290865,6.896549793970871
mmlu_pro,RDS+ (RR),0,1.9533270009926387,4.504592592580283
mmlu_pro,RDS+ (RR),1,2.0025348629270283,5.17240502263241
mmlu_pro,RDS+ (RR),2,1.986662312064852,6.385312646468903
mmlu_pro,RDS+ (RR),3,1.9751818980489457,5.911343814071981
mmlu_pro,RDS+ (RR),4,1.9884653397968837,5.746461657074062
mmlu_pro,RDS+ (RR),5,1.9712420335837773,5.120269602065549
mmlu_pro,RDS+ (RR),6,1.9909260528428214,5.4001736056772955
mmlu_pro,RDS+ (RR),7,2.0419374423367636,7.006431674406408
mmlu_pro,RDS+ (RR),8,2.0603620673928944,6.604065087346479
mmlu_pro,RDS+ (RR),9,2.0650995756898607,6.439256531840309
tydiqa,EMBED (RR),0,2.71806808312734,2.2154758395052974
tydiqa,EMBED (RR),1,2.435823553138309,2.2540316126810676
tydiqa,EMBED (RR),2,2.6071784827444286,2.383724503552254
tydiqa,EMBED (RR),3,2.753727833429972,2.559960982083734
tydiqa,EMBED (RR),4,2.5835703942510815,2.4101843125905393
tydiqa,EMBED (RR),5,3.2220336198806763,2.899197858215106
tydiqa,EMBED (RR),6,3.1429803636338978,2.962761591790475
tydiqa,EMBED (RR),7,3.3475093179278903,3.224726853474332
tydiqa,EMBED (RR),8,3.2732587589157953,3.059712573750906
tydiqa,EMBED (RR),9,3.370998356077406,3.119820284165746
tydiqa,LESS (RR),0,1.2248333659436967,1.6224649294290705
tydiqa,LESS (RR),1,1.8506425884034898,1.820799476523022
tydiqa,LESS (RR),2,2.4421053727467856,2.230517939940133
tydiqa,LESS (RR),3,2.7385111649831138,2.476129220379269
