dataset,method,bin,true_metric
bbh,EMBED (RR),0,46.949421444813886
bbh,EMBED (RR),1,46.02887043894569
bbh,EMBED (RR),2,44.200298097575576
bbh,EMBED (RR),3,46.094991252875886
bbh,EMBED (RR),4,46.90479679927841
bbh,EMBED (RR),5,46.37365322990001
bbh,EMBED (RR),6,47.221668223976984
bbh,EMBED (RR),7,43.08748018533349
bbh,EMBED (RR),8,46.63745106788321
bbh,EMBED (RR),9,46.45328923540226
bbh,RDS+ (RR),0,48.60730186941562
bbh,RDS+ (RR),1,45.66341980955422
bbh,RDS+ (RR),2,45.89636405766203
bbh,RDS+ (RR),3,44.462155768039935
bbh,RDS+ (RR),4,46.52914998049132
bbh,RDS+ (RR),5,46.14718523438747
bbh,RDS+ (RR),6,44.38749026661999
bbh,RDS+ (RR),7,45.39381272396149
bbh,RDS+ (RR),8,46.3897633513257
bbh,RDS+ (RR),9,47.47533789000167
bbh,LESS (RR),0,46.98150534794415
bbh,LESS (RR),1,46.9706069620383
bbh,LESS (RR),2,47.044606116941765
bbh,LESS (RR),3,46.660684192862846
bbh,LESS (RR),4,47.248338351265495
bbh,LESS (RR),5,45.491539038707415
bbh,LESS (RR),6,46.472168366447164
bbh,LESS (RR),7,44.73156461779989
bbh,LESS (RR),8,40.369454354254586
bbh,LESS (RR),9,46.702641537894
codex,EMBED (RR),0,62.83783783783784
codex,EMBED (RR),1,57.432432432432435
codex,EMBED (RR),2,53.37837837837838
codex,EMBED (RR),3,62.16216216216216
codex,EMBED (RR),4,59.45945945945946
codex,EMBED (RR),5,58.78378378378378
codex,EMBED (RR),6,64.1891891891892
codex,EMBED (RR),7,63.51351351351351
codex,EMBED (RR),8,58.108108108108105
codex,EMBED (RR),9,55.4054054054054
codex,RDS+ (RR),0,64.1891891891892
codex,RDS+ (RR),1,64.86486486486487
codex,RDS+ (RR),2,58.108108108108105
codex,RDS+ (RR),3,61.48648648648649
codex,RDS+ (RR),4,57.432432432432435
codex,RDS+ (RR),5,60.810810810810814
codex,RDS+ (RR),6,57.432432432432435
codex,RDS+ (RR),7,58.108108108108105
codex,RDS+ (RR),8,59.45945945945946
codex,RDS+ (RR),9,60.810810810810814
codex,LESS (RR),0,47.97297297297297
codex,LESS (RR),1,61.48648648648649
codex,LESS (RR),2,62.16216216216216
codex,LESS (RR),3,57.432432432432435
codex,LESS (RR),4,64.1891891891892
codex,LESS (RR),5,60.810810810810814
codex,LESS (RR),6,66.8918918918919
codex,LESS (RR),7,63.51351351351351
codex,LESS (RR),8,61.48648648648649
codex,LESS (RR),9,62.16216216216216
gsm8k,EMBED (RR),0,26.004548900682334
gsm8k,EMBED (RR),1,12.964366944655042
gsm8k,EMBED (RR),2,12.964366944655042
gsm8k,EMBED (RR),3,17.210007581501138
gsm8k,EMBED (RR),4,24.86732373009856
gsm8k,EMBED (RR),5,27.065959059893856
gsm8k,EMBED (RR),6,20.773313115996967
gsm8k,EMBED (RR),7,14.935557240333585
gsm8k,EMBED (RR),8,24.109173616376044
gsm8k,EMBED (RR),9,18.72630780894617
gsm8k,RDS+ (RR),0,33.73768006065201
