dataset,method,num_samples,dev,test,seed
bbh,EMBED (RR),500,0.3885630202698119,6.96181200620235,0
bbh,EMBED (RR),500,0.39163611203800014,7.022152531542476,1
bbh,EMBED (RR),500,0.39244538398436557,6.992762833646029,2
bbh,EMBED (RR),1000,0.3867158129075427,7.051100167402784,0
bbh,EMBED (RR),1000,0.38565905332381345,7.060648923891698,1
bbh,EMBED (RR),1000,0.3853609561460254,7.286415292286247,2
bbh,EMBED (RR),2500,0.3834188958560979,7.654300653344932,0
bbh,EMBED (RR),2500,0.3810081315445311,7.650227754543755,1
bbh,EMBED (RR),2500,0.38304196100360083,7.688978453236157,2
bbh,EMBED (RR),5000,0.38018028654250097,7.879363477632868,0
bbh,EMBED (RR),5000,0.3805737485304291,7.777672588980852,1
bbh,EMBED (RR),5000,0.3811750440961785,7.9800418975294285,2
bbh,EMBED (RR),10000,0.38028755669056635,8.165043971914242,0
bbh,EMBED (RR),10000,0.37756248834876366,8.06996020286099,1
bbh,EMBED (RR),10000,0.37958375879643874,8.203171712318483,2
bbh,LESS (DG),500,0.35912929958215467,8.285791504586316,0
bbh,LESS (DG),500,0.36256538676442923,8.533698197481105,1
bbh,LESS (DG),500,0.3627324355881155,8.559106832641076,2
bbh,LESS (DG),1000,0.35883425544073555,8.621355548951872,0
bbh,LESS (DG),1000,0.35749715318282443,8.464122338625275,1
bbh,LESS (DG),1000,0.35733474298943707,8.56343143373714,2
bbh,LESS (DG),2500,0.3599134500103968,7.994713699400214,0
bbh,LESS (DG),2500,0.36113000808306683,8.07408969962749,1
bbh,LESS (DG),2500,0.360529025533685,8.43185443549346,2
bbh,LESS (DG),5000,0.36600037268650387,8.209805757937902,0
bbh,LESS (DG),5000,0.361225672894054,8.30357266518766,1
bbh,LESS (DG),5000,0.3650208646316587,8.229126456704416,2
bbh,LESS (DG),10000,0.3676730749875675,8.016948740065986,0
bbh,LESS (DG),10000,0.36805435495428096,8.106426523708011,1
bbh,LESS (DG),10000,0.3675567312281073,8.239471580251317,2
bbh,LESS (KNN-KDE),500,0.35568399920507715,8.579977641959212,0
bbh,LESS (KNN-KDE),500,0.35572708710844136,8.551698677771617,1
