dataset,method,num_samples,seed,true_metric
bbh,Random,500,0,47.330856781622295
bbh,Random,500,1,46.81779896097815
bbh,Random,500,2,44.90787403348676
bbh,Random,1000,0,48.14668090789376
bbh,Random,1000,1,48.3509863884951
bbh,Random,1000,2,47.86434615997944
bbh,Random,2500,0,48.23241281462904
bbh,Random,2500,1,48.83902825421536
bbh,Random,2500,2,49.147398828406345
bbh,Random,5000,0,49.380314335549784
bbh,Random,5000,1,48.96970053030859
bbh,Random,5000,2,49.31522317246045
bbh,Random,10000,0,48.845303454192624
bbh,Random,10000,1,48.96902389216125
bbh,Random,10000,2,48.75066976232581
bbh,EMBED (RR),500,0,46.63245809048849
bbh,EMBED (RR),500,1,46.64871519688856
bbh,EMBED (RR),500,2,46.57014980145476
bbh,EMBED (RR),1000,0,47.55549184255647
bbh,EMBED (RR),1000,1,47.727214434451255
bbh,EMBED (RR),1000,2,47.7765097000907
bbh,EMBED (RR),2500,0,10.914081996434938
bbh,EMBED (RR),2500,1,49.33948976496396
bbh,EMBED (RR),2500,2,49.3869303421513
bbh,EMBED (RR),5000,0,48.83379923997403
bbh,EMBED (RR),5000,1,49.09408758305897
bbh,EMBED (RR),5000,2,48.74756567720379
bbh,EMBED (RR),10000,0,49.29864701330989
bbh,EMBED (RR),10000,1,48.812886633875515
bbh,EMBED (RR),10000,2,49.280019161455854
bbh,RDS+ (RR),500,0,48.38038727321563
bbh,RDS+ (RR),500,1,48.08321301788875
bbh,RDS+ (RR),500,2,48.06378530877622
bbh,RDS+ (RR),1000,0,47.91191911387839
bbh,RDS+ (RR),1000,1,48.16108983737119
bbh,RDS+ (RR),1000,2,48.05904765893902
bbh,RDS+ (RR),2500,0,48.111186853368324
bbh,RDS+ (RR),2500,1,48.257937205382625
bbh,RDS+ (RR),2500,2,48.364769418540845
bbh,RDS+ (RR),5000,0,49.16121033115122
bbh,RDS+ (RR),5000,1,48.214705527206334
bbh,RDS+ (RR),5000,2,49.095142170375105
bbh,RDS+ (RR),10000,0,48.94975463026599
bbh,RDS+ (RR),10000,1,48.91416669509365
bbh,RDS+ (RR),10000,2,49.0551442835737
bbh,LESS (DG),500,0,46.93245589863938
bbh,LESS (DG),500,1,46.813480219537325
bbh,LESS (DG),500,2,47.43791689831219
bbh,LESS (DG),1000,0,47.132464598969506
bbh,LESS (DG),1000,1,46.94996786456555
bbh,LESS (DG),1000,2,47.507131749611084
bbh,LESS (DG),2500,0,46.021684246729286
bbh,LESS (DG),2500,1,47.14210140652391
bbh,LESS (DG),2500,2,47.47234991496143
bbh,LESS (DG),5000,0,48.15944838321863
bbh,LESS (DG),5000,1,48.14087127008023
bbh,LESS (DG),5000,2,48.07135554709911
bbh,LESS (DG),10000,0,47.59449019738927
bbh,LESS (DG),10000,1,47.787196741747714
bbh,LESS (DG),10000,2,47.37941846371619
bbh,LESS (UOT),500,0,46.90199358583864
bbh,LESS (UOT),500,1,47.126816078831936
bbh,LESS (UOT),500,2,46.41615156840828
bbh,LESS (UOT),1000,0,47.143868994123864
bbh,LESS (UOT),1000,1,46.78656670249533
bbh,LESS (UOT),1000,2,47.38204987764513
bbh,LESS (UOT),2500,0,48.040060307249675
bbh,LESS (UOT),2500,1,47.14429117047882
bbh,LESS (UOT),2500,2,46.101777412815075
bbh,LESS (UOT),5000,0,48.2329334321403
bbh,LESS (UOT),5000,1,48.22472673448961
bbh,LESS (UOT),5000,2,48.211658655747776
bbh,LESS (UOT),10000,0,48.227844684047994
bbh,LESS (UOT),10000,1,48.23462154006026
bbh,LESS (UOT),10000,2,48.02015674434258
bbh,LESS (RR),500,0,46.70202671050123
bbh,LESS (RR),500,1,46.86132530415412
bbh,LESS (RR),500,2,47.22501863757647
bbh,LESS (RR),1000,0,47.46812499319812
bbh,LESS (RR),1000,1,48.01578939811428
bbh,LESS (RR),1000,2,47.28567491256152
bbh,LESS (RR),2500,0,48.40461263822633
bbh,LESS (RR),2500,1,48.35205699856353
bbh,LESS (RR),2500,2,48.13043220307389
bbh,LESS (RR),5000,0,49.591167146846246
bbh,LESS (RR),5000,1,49.66648845927428
bbh,LESS (RR),5000,2,49.19058790118193
bbh,LESS (RR),10000,0,48.22120236306331
bbh,LESS (RR),10000,1,48.09963241257683
bbh,LESS (RR),10000,2,48.78177399731057
bbh,LESS (KNN-Unif.),500,0,47.66435615286035
bbh,LESS (KNN-Unif.),500,1,47.75155909214525
bbh,LESS (KNN-Unif.),500,2,47.67643883233522
bbh,LESS (KNN-Unif.),1000,0,46.82594057991571
bbh,LESS (KNN-Unif.),1000,1,47.37684744605223
bbh,LESS (KNN-Unif.),1000,2,46.84994749164818
bbh,LESS (KNN-Unif.),2500,0,47.729485836402155
bbh,LESS (KNN-Unif.),2500,1,47.01404185114858
bbh,LESS (KNN-Unif.),2500,2,47.592504156511076
bbh,LESS (KNN-Unif.),5000,0,48.34062680116876
bbh,LESS (KNN-Unif.),5000,1,48.34893904900514
bbh,LESS (KNN-Unif.),5000,2,48.05726404858675
bbh,LESS (KNN-Unif.),10000,0,47.99053551629311
bbh,LESS (KNN-Unif.),10000,1,47.952567056178694
bbh,LESS (KNN-Unif.),10000,2,48.010481684600954
bbh,LESS (KNN-KDE),500,0,47.68094644471253
bbh,LESS (KNN-KDE),500,1,47.50754414647794
bbh,LESS (KNN-KDE),500,2,48.11670884985447
bbh,LESS (KNN-KDE),1000,0,47.129371073743584
bbh,LESS (KNN-KDE),1000,1,47.75075032116382
bbh,LESS (KNN-KDE),1000,2,47.18778735820085
bbh,LESS (KNN-KDE),2500,0,47.85765934354333
bbh,LESS (KNN-KDE),2500,1,47.5905355162931
bbh,LESS (KNN-KDE),2500,2,47.65946221412183
bbh,LESS (KNN-KDE),5000,0,48.762636599984155
bbh,LESS (KNN-KDE),5000,1,48.904651972619995
bbh,LESS (KNN-KDE),5000,2,48.23209045733831
bbh,LESS (KNN-KDE),10000,0,47.99287967909866
bbh,LESS (KNN-KDE),10000,1,48.48195548790394
bbh,LESS (KNN-KDE),10000,2,47.698614699540016
codex,Random,500,0,64.1891891891892
codex,Random,500,1,58.78378378378378
codex,Random,500,2,64.86486486486487
codex,Random,1000,0,63.51351351351351
codex,Random,1000,1,62.16216216216216
codex,Random,1000,2,63.51351351351351
codex,Random,2500,0,59.45945945945946
codex,Random,2500,1,61.48648648648649
codex,Random,2500,2,59.45945945945946
codex,Random,5000,0,58.78378378378378
codex,Random,5000,1,60.13513513513513
codex,Random,5000,2,56.08108108108109
codex,Random,10000,0,58.78378378378378
codex,Random,10000,1,60.13513513513513
codex,Random,10000,2,65.54054054054053
codex,EMBED (RR),500,0,62.16216216216216
codex,EMBED (RR),500,1,66.21621621621621
codex,EMBED (RR),500,2,61.48648648648649
codex,EMBED (RR),1000,0,65.54054054054053
codex,EMBED (RR),1000,1,62.16216216216216
codex,EMBED (RR),1000,2,62.16216216216216
codex,EMBED (RR),2500,0,61.48648648648649
codex,EMBED (RR),2500,1,58.108108108108105
codex,EMBED (RR),2500,2,64.1891891891892
codex,EMBED (RR),5000,0,66.21621621621621
codex,EMBED (RR),5000,1,63.51351351351351
codex,EMBED (RR),5000,2,63.51351351351351
codex,EMBED (RR),10000,0,63.51351351351351
codex,EMBED (RR),10000,1,62.83783783783784
codex,EMBED (RR),10000,2,64.86486486486487
codex,RDS+ (RR),500,0,63.51351351351351
codex,RDS+ (RR),500,1,57.432432432432435
codex,RDS+ (RR),500,2,61.48648648648649
codex,RDS+ (RR),1000,0,65.54054054054053
codex,RDS+ (RR),1000,1,67.56756756756756
codex,RDS+ (RR),1000,2,65.54054054054053
codex,RDS+ (RR),2500,0,61.48648648648649
codex,RDS+ (RR),2500,1,58.108108108108105
codex,RDS+ (RR),2500,2,63.51351351351351
codex,RDS+ (RR),5000,0,61.48648648648649
codex,RDS+ (RR),5000,1,64.86486486486487
codex,RDS+ (RR),5000,2,64.86486486486487
codex,RDS+ (RR),10000,0,63.51351351351351
codex,RDS+ (RR),10000,1,64.1891891891892
codex,RDS+ (RR),10000,2,66.21621621621621
codex,LESS (DG),500,0,55.4054054054054
codex,LESS (DG),500,1,52.02702702702703
codex,LESS (DG),500,2,51.35135135135135
codex,LESS (DG),1000,0,58.108108108108105
codex,LESS (DG),1000,1,56.75675675675676
codex,LESS (DG),1000,2,53.37837837837838
codex,LESS (DG),2500,0,55.4054054054054
codex,LESS (DG),2500,1,57.432432432432435
codex,LESS (DG),2500,2,54.729729729729726
codex,LESS (DG),5000,0,55.4054054054054
codex,LESS (DG),5000,1,56.75675675675676
codex,LESS (DG),5000,2,56.75675675675676
codex,LESS (DG),10000,0,60.810810810810814
codex,LESS (DG),10000,1,62.83783783783784
codex,LESS (DG),10000,2,57.432432432432435
codex,LESS (UOT),500,0,54.729729729729726
codex,LESS (UOT),500,1,52.702702702702695
codex,LESS (UOT),500,2,52.02702702702703
codex,LESS (UOT),1000,0,55.4054054054054
codex,LESS (UOT),1000,1,56.08108108108109
codex,LESS (UOT),1000,2,54.054054054054056
codex,LESS (UOT),2500,0,64.86486486486487
codex,LESS (UOT),2500,1,55.4054054054054
codex,LESS (UOT),2500,2,60.810810810810814
codex,LESS (UOT),5000,0,59.45945945945946
codex,LESS (UOT),5000,1,56.08108108108109
codex,LESS (UOT),5000,2,60.810810810810814
codex,LESS (UOT),10000,0,60.13513513513513
codex,LESS (UOT),10000,1,60.13513513513513
codex,LESS (UOT),10000,2,64.1891891891892
codex,LESS (RR),500,0,54.054054054054056
codex,LESS (RR),500,1,52.702702702702695
codex,LESS (RR),500,2,55.4054054054054
codex,LESS (RR),1000,0,52.702702702702695
codex,LESS (RR),1000,1,56.75675675675676
codex,LESS (RR),1000,2,58.108108108108105
codex,LESS (RR),2500,0,55.4054054054054
codex,LESS (RR),2500,1,56.75675675675676
codex,LESS (RR),2500,2,56.08108108108109
codex,LESS (RR),5000,0,56.75675675675676
codex,LESS (RR),5000,1,58.78378378378378
codex,LESS (RR),5000,2,59.45945945945946
codex,LESS (RR),10000,0,63.51351351351351
codex,LESS (RR),10000,1,62.83783783783784
codex,LESS (RR),10000,2,63.51351351351351
codex,LESS (KNN-Unif.),500,0,56.08108108108109
codex,LESS (KNN-Unif.),500,1,56.08108108108109
codex,LESS (KNN-Unif.),500,2,53.37837837837838
codex,LESS (KNN-Unif.),1000,0,53.37837837837838
codex,LESS (KNN-Unif.),1000,1,59.45945945945946
codex,LESS (KNN-Unif.),1000,2,57.432432432432435
codex,LESS (KNN-Unif.),2500,0,56.08108108108109
codex,LESS (KNN-Unif.),2500,1,56.08108108108109
codex,LESS (KNN-Unif.),2500,2,51.35135135135135
codex,LESS (KNN-Unif.),5000,0,56.75675675675676
codex,LESS (KNN-Unif.),5000,1,56.75675675675676
codex,LESS (KNN-Unif.),5000,2,56.75675675675676
codex,LESS (KNN-Unif.),10000,0,61.48648648648649
codex,LESS (KNN-Unif.),10000,1,60.810810810810814
codex,LESS (KNN-Unif.),10000,2,62.83783783783784
codex,LESS (KNN-KDE),500,0,53.37837837837838
codex,LESS (KNN-KDE),500,1,52.702702702702695
codex,LESS (KNN-KDE),500,2,54.054054054054056
codex,LESS (KNN-KDE),1000,0,52.702702702702695
codex,LESS (KNN-KDE),1000,1,57.432432432432435
codex,LESS (KNN-KDE),1000,2,60.13513513513513
codex,LESS (KNN-KDE),2500,0,54.054054054054056
codex,LESS (KNN-KDE),2500,1,59.45945945945946
codex,LESS (KNN-KDE),2500,2,56.75675675675676
codex,LESS (KNN-KDE),5000,0,58.108108108108105
codex,LESS (KNN-KDE),5000,1,59.45945945945946
codex,LESS (KNN-KDE),5000,2,56.08108108108109
codex,LESS (KNN-KDE),10000,0,64.1891891891892
codex,LESS (KNN-KDE),10000,1,62.16216216216216
codex,LESS (KNN-KDE),10000,2,58.108108108108105
gsm8k,Random,500,0,24.184988627748293
gsm8k,Random,500,1,25.17058377558757
gsm8k,Random,500,2,24.109173616376044
gsm8k,Random,1000,0,15.845337376800606
gsm8k,Random,1000,1,18.72630780894617
gsm8k,Random,1000,2,16.300227445034114
gsm8k,Random,2500,0,18.877937831690677
gsm8k,Random,2500,1,17.664897649734648
gsm8k,Random,2500,2,15.466262319939347
gsm8k,Random,5000,0,25.17058377558757
gsm8k,Random,5000,1,22.820318423047762
gsm8k,Random,5000,2,27.520849128127367
gsm8k,Random,10000,0,37.07354056103108
gsm8k,Random,10000,1,35.10235026535254
gsm8k,Random,10000,2,36.61865049279757
gsm8k,EMBED (RR),500,0,25.701288855193326
gsm8k,EMBED (RR),500,1,29.64366944655042
gsm8k,EMBED (RR),500,2,29.64366944655042
gsm8k,EMBED (RR),1000,0,18.802122820318424
gsm8k,EMBED (RR),1000,1,12.585291887793785
gsm8k,EMBED (RR),1000,2,13.722517058377559
gsm8k,EMBED (RR),2500,0,36.39120545868082
gsm8k,EMBED (RR),2500,1,35.860500379075056
gsm8k,EMBED (RR),2500,2,35.93631539044731
