dataset,method,bin,dev,test
bbh,EMBED (RR),0,0.33140973645595856,6.513081974229621
bbh,EMBED (RR),1,0.3350115968489353,5.989216888743673
bbh,EMBED (RR),2,0.3323587004877167,5.870351921631396
bbh,EMBED (RR),3,0.3325377048257692,6.215305105494823
bbh,EMBED (RR),4,0.33074609130436994,6.082388848821572
bbh,EMBED (RR),5,0.3317149794304077,5.969948009656626
bbh,EMBED (RR),6,0.3351390459747226,6.292717214252081
bbh,EMBED (RR),7,0.3367826404210962,6.306649012255094
bbh,EMBED (RR),8,0.3361159523052198,6.376644999608157
bbh,EMBED (RR),9,0.334733263393979,6.295079480775984
bbh,LESS (RR),0,0.32076741630832356,5.858914315901929
bbh,LESS (RR),1,0.329213651518027,6.032945296261245
bbh,LESS (RR),2,0.3297517198471375,5.858602114691197
bbh,LESS (RR),3,0.3343330205498654,5.99700974343358
bbh,LESS (RR),4,0.3355812789113433,6.1741857239314255
bbh,LESS (RR),5,0.3333938630918662,6.067453687814611
bbh,LESS (RR),6,0.3340483328074585,6.160004163773411
bbh,LESS (RR),7,0.3348485789733169,6.196857252843808
bbh,LESS (RR),8,0.3408318077340538,6.480967519598574
bbh,LESS (RR),9,0.3413355965857153,6.468663556924377
bbh,RDS+ (RR),0,0.3291162989665697,6.29358688885304
bbh,RDS+ (RR),1,0.34005059977924385,6.426649462021436
bbh,RDS+ (RR),2,0.3349943359232979,6.249070836704569
bbh,RDS+ (RR),3,0.3414347442211928,6.306574779901796
bbh,RDS+ (RR),4,0.33861637855937454,6.258051058248594
bbh,RDS+ (RR),5,0.3371881360165131,6.271959428339762
bbh,RDS+ (RR),6,0.3324327106461113,6.019256613236604
bbh,RDS+ (RR),7,0.32734111448129016,5.79944173770829
bbh,RDS+ (RR),8,0.33128260517561875,6.118895112900594
bbh,RDS+ (RR),9,0.3301199040387148,6.23502782816126
codex,EMBED (RR),0,0.8625037129968405,0.9422753723086538
codex,EMBED (RR),1,0.8559122737497091,0.9386723892310181
codex,EMBED (RR),2,0.9335163123905659,1.0076927199355654
codex,EMBED (RR),3,0.9381156973540783,1.0186578640462578
codex,EMBED (RR),4,0.9082982428371906,0.9701404861501746
codex,EMBED (RR),5,0.8817961439490318,0.9562980608158821
codex,EMBED (RR),6,0.849009845405817,0.9254387267739386
codex,EMBED (RR),7,0.8308682981878519,0.9090038201696163
codex,EMBED (RR),8,0.8291590381413698,0.9094991027503401
codex,EMBED (RR),9,0.843582671135664,0.9219309526520807
codex,LESS (RR),0,0.7840395774692297,0.8586786215168398
codex,LESS (RR),1,0.8507898431271315,0.9281971364005192
codex,LESS (RR),2,0.8570019938051701,0.9291022690768177
codex,LESS (RR),3,0.8763309009373188,0.9536123104594849
codex,LESS (RR),4,0.900272786617279,0.972973245724633
codex,LESS (RR),5,0.894506860524416,0.9625198576297309
codex,LESS (RR),6,0.8928936012089252,0.9684268140510933
codex,LESS (RR),7,0.919706754386425,0.9930792936199421
codex,LESS (RR),8,0.9319839514791965,1.0083609627106704
codex,LESS (RR),9,0.9214516431093216,0.9988046075041229
codex,RDS+ (RR),0,0.8768230862915516,0.9848263225442654
codex,RDS+ (RR),1,0.8857778050005436,0.9678568708131442
codex,RDS+ (RR),2,0.864425927400589,0.9337984564135203
codex,RDS+ (RR),3,0.8798227943480015,0.9432900766464504
codex,RDS+ (RR),4,0.862083051353693,0.9306760031629253
codex,RDS+ (RR),5,0.8516018483787775,0.9185810167644475
codex,RDS+ (RR),6,0.8723357282578945,0.9386284453039234
codex,RDS+ (RR),7,0.842122646048665,0.9252399688435567
codex,RDS+ (RR),8,0.803526010364294,0.890106089211799
codex,RDS+ (RR),9,0.8563135601580143,0.940608036578507
gsm8k,EMBED (RR),0,0.9453728571534157,8.564772261373015
gsm8k,EMBED (RR),1,0.960268422961235,7.800261782370705
