dataset,method,bin,true_metric
bbh,EMBED (RR),0,65.67602865475367
bbh,EMBED (RR),1,64.63578603077558
bbh,EMBED (RR),2,65.02434554174995
bbh,EMBED (RR),3,64.16825166622448
bbh,EMBED (RR),4,64.61282797523778
bbh,EMBED (RR),5,64.65763191951748
bbh,EMBED (RR),6,64.54740173664564
bbh,EMBED (RR),7,64.93089614345216
bbh,EMBED (RR),8,64.33633758110032
bbh,EMBED (RR),9,64.18693190296736
bbh,RDS+ (RR),0,65.64629374320363
bbh,RDS+ (RR),1,65.25232234643819
bbh,RDS+ (RR),2,64.98050614521021
bbh,RDS+ (RR),3,64.87030254498679
bbh,RDS+ (RR),4,64.5715462440684
bbh,RDS+ (RR),5,64.50179475250594
bbh,RDS+ (RR),6,64.36307662817275
bbh,RDS+ (RR),7,64.33582752348521
bbh,RDS+ (RR),8,64.28282312481898
bbh,RDS+ (RR),9,64.38897081039245
bbh,LESS (RR),0,64.9583386795856
bbh,LESS (RR),1,64.66900133044325
bbh,LESS (RR),2,64.79919853314995
bbh,LESS (RR),3,64.87645350156734
bbh,LESS (RR),4,64.94134577035462
bbh,LESS (RR),5,64.70783094642796
bbh,LESS (RR),6,64.78162500034678
bbh,LESS (RR),7,64.61478821387558
bbh,LESS (RR),8,64.66153421572486
bbh,LESS (RR),9,64.4811987725767
codex,EMBED (RR),0,85.13513513513513
codex,EMBED (RR),1,89.1891891891892
codex,EMBED (RR),2,86.48648648648648
codex,EMBED (RR),3,87.83783783783784
codex,EMBED (RR),4,83.1081081081081
codex,EMBED (RR),5,88.51351351351352
codex,EMBED (RR),6,87.83783783783784
codex,EMBED (RR),7,84.45945945945947
codex,EMBED (RR),8,89.86486486486487
codex,EMBED (RR),9,83.1081081081081
codex,RDS+ (RR),0,89.1891891891892
codex,RDS+ (RR),1,86.48648648648648
codex,RDS+ (RR),2,85.13513513513513
codex,RDS+ (RR),3,85.8108108108108
codex,RDS+ (RR),4,84.45945945945947
codex,RDS+ (RR),5,87.16216216216216
codex,RDS+ (RR),6,86.48648648648648
codex,RDS+ (RR),7,88.51351351351352
codex,RDS+ (RR),8,84.45945945945947
codex,RDS+ (RR),9,89.1891891891892
codex,LESS (RR),0,81.08108108108108
codex,LESS (RR),1,85.13513513513513
codex,LESS (RR),2,87.83783783783784
codex,LESS (RR),3,86.48648648648648
codex,LESS (RR),4,83.78378378378379
codex,LESS (RR),5,86.48648648648648
codex,LESS (RR),6,87.16216216216216
codex,LESS (RR),7,83.78378378378379
codex,LESS (RR),8,87.83783783783784
codex,LESS (RR),9,86.48648648648648
gsm8k,EMBED (RR),0,75.2084912812737
gsm8k,EMBED (RR),1,28.203184230477635
gsm8k,EMBED (RR),2,13.646702047005308
gsm8k,EMBED (RR),3,37.225170583775586
gsm8k,EMBED (RR),4,54.207733131159976
gsm8k,EMBED (RR),5,73.08567096285064
gsm8k,EMBED (RR),6,77.33131159969673
gsm8k,EMBED (RR),7,77.40712661106899
gsm8k,EMBED (RR),8,76.87642153146324
gsm8k,EMBED (RR),9,75.3601213040182
gsm8k,RDS+ (RR),0,78.24109173616375
gsm8k,RDS+ (RR),1,60.72782410917361
gsm8k,RDS+ (RR),2,62.69901440485216
gsm8k,RDS+ (RR),3,68.68840030326004
gsm8k,RDS+ (RR),4,76.72479150871872
gsm8k,RDS+ (RR),5,74.37452615617892
gsm8k,RDS+ (RR),6,51.93328278999242
gsm8k,RDS+ (RR),7,74.60197119029569
gsm8k,RDS+ (RR),8,72.40333586050039
gsm8k,RDS+ (RR),9,73.91963608794542
gsm8k,LESS (RR),0,76.95223654283548
gsm8k,LESS (RR),1,76.34571645185747
gsm8k,LESS (RR),2,74.75360121304018
gsm8k,LESS (RR),3,71.56937073540561
gsm8k,LESS (RR),4,74.60197119029569
gsm8k,LESS (RR),5,75.66338134950719
gsm8k,LESS (RR),6,65.04927975739196
gsm8k,LESS (RR),7,76.34571645185747
gsm8k,LESS (RR),8,77.10386656557998
gsm8k,LESS (RR),9,76.42153146322971
tydiqa,EMBED (RR),0,51.060204716565636
tydiqa,EMBED (RR),1,49.86863183858627
tydiqa,EMBED (RR),2,52.89336382918529
tydiqa,EMBED (RR),3,50.92864631167182
tydiqa,EMBED (RR),4,52.38970047447763
tydiqa,EMBED (RR),5,44.33801733035724
tydiqa,EMBED (RR),6,46.40008143928597
tydiqa,EMBED (RR),7,47.39917784574057
tydiqa,EMBED (RR),8,48.040997196777695
tydiqa,EMBED (RR),9,46.13308965471417
