dataset,method,num_samples,dev,test,seed
bbh,EMBED (RR),500,0.331488435605058,6.511298439969959,0
bbh,EMBED (RR),500,0.3329829457273454,6.531161737714819,1
bbh,EMBED (RR),500,0.33286215562695337,6.507679219665917,2
bbh,EMBED (RR),1000,0.33220281691094977,6.4375706717195715,0
bbh,EMBED (RR),1000,0.3332565186752213,6.448307027997664,1
bbh,EMBED (RR),1000,0.33148051062483846,6.567424645037205,2
bbh,EMBED (RR),2500,0.32927815754104545,6.802354183674518,0
bbh,EMBED (RR),2500,0.3309714664463644,6.748767893758536,1
bbh,EMBED (RR),2500,0.3312525251581345,6.5596679858010845,2
bbh,EMBED (RR),5000,0.3332236325483263,6.936813714948782,0
bbh,EMBED (RR),5000,0.3318191202426398,6.972497211039442,1
bbh,EMBED (RR),5000,0.3325904554422991,6.90922342007143,2
bbh,EMBED (RR),10000,0.33282399030379306,7.025576119176841,0
bbh,EMBED (RR),10000,0.33366610463938595,7.3364235305910634,1
bbh,EMBED (RR),10000,0.3328737398540532,7.149662393200619,2
bbh,LESS (DG),500,0.3252513469829236,6.330665145568851,0
bbh,LESS (DG),500,0.32549666461569293,6.283422394339674,1
bbh,LESS (DG),500,0.32654880129812675,6.174778216803537,2
bbh,LESS (DG),1000,0.3237005558186843,6.922621268498112,0
bbh,LESS (DG),1000,0.32500846854146614,6.892719984970011,1
bbh,LESS (DG),1000,0.3277944070689472,6.970617249170915,2
bbh,LESS (DG),2500,0.32325440934962696,7.205479652920803,0
bbh,LESS (DG),2500,0.3303522217420884,7.474423340563949,1
bbh,LESS (DG),2500,0.32642219303014836,7.356033371928796,2
bbh,LESS (DG),5000,0.3239666033582187,7.131663263347581,0
bbh,LESS (DG),5000,0.326018814365437,7.1539843386630455,1
bbh,LESS (DG),5000,0.3302875526801304,6.981402997111161,2
bbh,LESS (DG),10000,0.32648955239557925,7.132821405635161,0
bbh,LESS (DG),10000,0.32580465680839105,7.149805805976444,1
bbh,LESS (DG),10000,0.32277213404943916,7.011109612958806,2
