dataset,method,num_samples,seed,true_metric
bbh,Random,500,0,64.44024233742203
bbh,Random,500,1,64.86637366613101
bbh,Random,500,2,65.0687899861944
bbh,Random,1000,0,65.13956948242456
bbh,Random,1000,1,64.6675959131373
bbh,Random,1000,2,64.94475214164844
bbh,Random,2500,0,66.1971124598147
bbh,Random,2500,1,66.11850445898015
bbh,Random,2500,2,66.32308207029935
bbh,Random,5000,0,66.8427604580544
bbh,Random,5000,1,67.14008475901841
bbh,Random,5000,2,66.05549346129344
bbh,Random,10000,0,67.14213020845766
bbh,Random,10000,1,66.8086497986959
bbh,Random,10000,2,67.09888250752904
bbh,EMBED (RR),500,0,65.40653219199878
bbh,EMBED (RR),500,1,65.23352626787877
bbh,EMBED (RR),500,2,65.36105974288665
bbh,EMBED (RR),1000,0,66.15722090360703
bbh,EMBED (RR),1000,1,65.79964432294467
bbh,EMBED (RR),1000,2,65.90608778316046
bbh,EMBED (RR),2500,0,66.81466889070761
bbh,EMBED (RR),2500,1,66.86159992242256
bbh,EMBED (RR),2500,2,66.85552004394185
bbh,EMBED (RR),5000,0,66.93921679286872
bbh,EMBED (RR),5000,1,67.66027320438859
bbh,EMBED (RR),5000,2,66.95134207774433
bbh,EMBED (RR),10000,0,67.64230596792954
bbh,EMBED (RR),10000,1,67.36242333519992
bbh,EMBED (RR),10000,2,67.4258836040328
bbh,RDS+ (RR),500,0,65.56938987304132
bbh,RDS+ (RR),500,1,65.74700920360185
bbh,RDS+ (RR),500,2,65.57120006604204
bbh,RDS+ (RR),1000,0,66.04131027703176
bbh,RDS+ (RR),1000,1,66.12922432654977
bbh,RDS+ (RR),1000,2,66.17443493657493
bbh,RDS+ (RR),2500,0,66.81576797347516
bbh,RDS+ (RR),2500,1,66.71629186199351
bbh,RDS+ (RR),2500,2,67.00299968725759
bbh,RDS+ (RR),5000,0,66.89306821775202
bbh,RDS+ (RR),5000,1,67.42019769747318
bbh,RDS+ (RR),5000,2,67.43555677372372
bbh,RDS+ (RR),10000,0,66.98467106091258
bbh,RDS+ (RR),10000,1,67.55525118423108
bbh,RDS+ (RR),10000,2,67.47318175675517
bbh,LESS (DG),500,0,65.33853010696802
bbh,LESS (DG),500,1,65.3774734064533
bbh,LESS (DG),500,2,65.28040413429687
bbh,LESS (DG),1000,0,65.98458210049442
bbh,LESS (DG),1000,1,66.08822501772913
bbh,LESS (DG),1000,2,65.9456569820774
bbh,LESS (DG),2500,0,65.66481742277993
bbh,LESS (DG),2500,1,66.20024859044135
