dataset,method,bin,dev,test
bbh,EMBED (RR),0,0.33994875595341495,6.489972594485197
bbh,EMBED (RR),1,0.34178932162898557,5.9255040613137675
bbh,EMBED (RR),2,0.343754506037559,6.018472805218733
bbh,EMBED (RR),3,0.33462186870567595,5.908954123832941
bbh,EMBED (RR),4,0.34342848003646476,6.252052932909018
bbh,EMBED (RR),5,0.334325772560673,5.89909859685703
bbh,EMBED (RR),6,0.3327967174995093,5.903966369029839
bbh,EMBED (RR),7,0.33684106424082944,6.13495365482306
bbh,EMBED (RR),8,0.3358280624688407,6.075457176768895
bbh,EMBED (RR),9,0.333257162966478,5.913679799539595
bbh,LESS (RR),0,0.32083958603533697,6.170436584131085
bbh,LESS (RR),1,0.33259322374691197,5.950380376490776
bbh,LESS (RR),2,0.3343224514413763,5.969706983248441
bbh,LESS (RR),3,0.33377480281539906,5.950321815041715
bbh,LESS (RR),4,0.3350501538794718,5.93356842254827
bbh,LESS (RR),5,0.34048527791912175,6.099558123134647
bbh,LESS (RR),6,0.33652412955775673,5.882913963153164
bbh,LESS (RR),7,0.33903062872496653,6.016145775558359
bbh,LESS (RR),8,0.3380836765799258,5.892650065307079
bbh,LESS (RR),9,0.3442924636197679,6.11594320396329
bbh,RDS+ (RR),0,0.33803179515180765,6.268285512548862
bbh,RDS+ (RR),1,0.3380134389448313,5.974683317230367
bbh,RDS+ (RR),2,0.3358609751326802,5.982171257736679
bbh,RDS+ (RR),3,0.3381167646543479,5.895024214430241
bbh,RDS+ (RR),4,0.339470568538448,6.022518295358172
bbh,RDS+ (RR),5,0.3427310619549251,6.146936477283384
bbh,RDS+ (RR),6,0.3370707813236449,6.050309412372477
bbh,RDS+ (RR),7,0.33355528212807795,5.951933010037164
bbh,RDS+ (RR),8,0.3364773416592751,6.10686056601289
bbh,RDS+ (RR),9,0.33062894113453817,6.091166171559246
codex,EMBED (RR),0,0.933599054813385,0.9785096639314214
codex,EMBED (RR),1,0.8938292302191257,0.9261058935442487
codex,EMBED (RR),2,0.857445053756237,0.8909062406903988
codex,EMBED (RR),3,0.8669178746640682,0.8904182707538476
codex,EMBED (RR),4,0.8885375782847404,0.914920570681224
codex,EMBED (RR),5,0.8907157219946384,0.9204129775029581
codex,EMBED (RR),6,0.8778960518538952,0.9059230112344832
codex,EMBED (RR),7,0.8755804523825645,0.8999404443075528
codex,EMBED (RR),8,0.8604127801954746,0.8934832682480683
codex,EMBED (RR),9,0.8764133527874947,0.905573054040606
codex,LESS (RR),0,0.7853881530463696,0.8548871742913852
codex,LESS (RR),1,0.8457135558128357,0.8789861983544117
codex,LESS (RR),2,0.8548197597265244,0.8819598687460294
codex,LESS (RR),3,0.8630165345966816,0.8962382502048403
codex,LESS (RR),4,0.8735485337674618,0.900827956058689
codex,LESS (RR),5,0.8767766766250134,0.9071358563126745
codex,LESS (RR),6,0.8740009441971779,0.9049301477702888
codex,LESS (RR),7,0.8790100403130054,0.9058989943886125
codex,LESS (RR),8,0.8803867138922215,0.9105774259849174
codex,LESS (RR),9,0.8786641620099545,0.9144329985452665
codex,RDS+ (RR),0,0.9021471105515957,0.9468539528347351
codex,RDS+ (RR),1,0.9180700331926346,0.9570465762470219
codex,RDS+ (RR),2,0.8808078020811081,0.9055589452587269
codex,RDS+ (RR),3,0.8875925317406654,0.9143052546156419
codex,RDS+ (RR),4,0.8766826093196869,0.9052087467264485
codex,RDS+ (RR),5,0.8595742657780647,0.8929538416701395
codex,RDS+ (RR),6,0.8720883913338184,0.8968565914075117
codex,RDS+ (RR),7,0.8882643841207027,0.9171262001870452
codex,RDS+ (RR),8,0.8816155716776848,0.9132733217163665
codex,RDS+ (RR),9,0.8938747122883797,0.9230286747821279
gsm8k,EMBED (RR),0,0.7846315875649452,6.161350380027719
gsm8k,EMBED (RR),1,0.7652299553155899,5.901184350274746
gsm8k,EMBED (RR),2,0.799459308385849,5.6758180004435115
gsm8k,EMBED (RR),3,0.7846182808279991,5.645543002106187
gsm8k,EMBED (RR),4,0.7723240181803703,5.677434364532864
gsm8k,EMBED (RR),5,0.8129682242870331,5.912607891438493
gsm8k,EMBED (RR),6,0.7592158988118172,5.684656800511572
gsm8k,EMBED (RR),7,0.775707334280014,6.065222569900177
gsm8k,EMBED (RR),8,0.7965716496109962,5.928215190079105
gsm8k,EMBED (RR),9,0.815958708524704,5.692122900187743
gsm8k,LESS (RR),0,0.8268513381481171,6.813883653637855
gsm8k,LESS (RR),1,0.7325577810406685,5.819974852114396
