dataset,method,bin,true_metric
bbh,EMBED (RR),0,70.90583926588236
bbh,EMBED (RR),1,72.00736979539867
bbh,EMBED (RR),2,72.12957926587568
bbh,EMBED (RR),3,71.54272574513952
bbh,EMBED (RR),4,71.44802670629431
bbh,EMBED (RR),5,71.8224054352005
bbh,EMBED (RR),6,71.67626013109088
bbh,EMBED (RR),7,71.3001351782545
bbh,EMBED (RR),8,71.5789187282166
bbh,EMBED (RR),9,71.05200848218168
bbh,RDS+ (RR),0,71.83703522014959
bbh,RDS+ (RR),1,72.02012097970595
bbh,RDS+ (RR),2,71.83825587585514
bbh,RDS+ (RR),3,71.65853604050781
bbh,RDS+ (RR),4,71.5826970492925
bbh,RDS+ (RR),5,71.92986087733163
bbh,RDS+ (RR),6,71.48991615582713
bbh,RDS+ (RR),7,70.98213541768123
bbh,RDS+ (RR),8,71.1965207337189
bbh,RDS+ (RR),9,71.52667158140815
bbh,LESS (RR),0,71.87664702446729
bbh,LESS (RR),1,71.9444564584602
bbh,LESS (RR),2,71.64770300158034
bbh,LESS (RR),3,71.58723097605298
bbh,LESS (RR),4,71.74973677843236
bbh,LESS (RR),5,71.23938046211313
bbh,LESS (RR),6,71.7377783423542
bbh,LESS (RR),7,71.51272632404377
bbh,LESS (RR),8,71.804874507798
bbh,LESS (RR),9,71.90121664696902
codex,EMBED (RR),0,94.5945945945946
codex,EMBED (RR),1,92.56756756756756
codex,EMBED (RR),2,89.1891891891892
codex,EMBED (RR),3,93.91891891891892
codex,EMBED (RR),4,93.91891891891892
codex,EMBED (RR),5,91.8918918918919
codex,EMBED (RR),6,93.24324324324324
codex,EMBED (RR),7,94.5945945945946
codex,EMBED (RR),8,95.27027027027027
codex,EMBED (RR),9,90.54054054054053
codex,RDS+ (RR),0,93.24324324324324
codex,RDS+ (RR),1,94.5945945945946
codex,RDS+ (RR),2,95.27027027027027
codex,RDS+ (RR),3,92.56756756756756
codex,RDS+ (RR),4,92.56756756756756
codex,RDS+ (RR),5,91.8918918918919
codex,RDS+ (RR),6,91.8918918918919
codex,RDS+ (RR),7,92.56756756756756
codex,RDS+ (RR),8,94.5945945945946
codex,RDS+ (RR),9,95.27027027027027
codex,LESS (RR),0,93.24324324324324
codex,LESS (RR),1,91.8918918918919
codex,LESS (RR),2,94.5945945945946
codex,LESS (RR),3,93.91891891891892
codex,LESS (RR),4,92.56756756756756
codex,LESS (RR),5,93.24324324324324
codex,LESS (RR),6,95.94594594594594
codex,LESS (RR),7,91.8918918918919
codex,LESS (RR),8,91.21621621621621
codex,LESS (RR),9,91.8918918918919
gsm8k,EMBED (RR),0,86.73237300985596
gsm8k,EMBED (RR),1,86.9598180439727
gsm8k,EMBED (RR),2,87.11144806671722
gsm8k,EMBED (RR),3,87.64215314632298
gsm8k,EMBED (RR),4,86.3532979529947
gsm8k,EMBED (RR),5,85.29188779378318
gsm8k,EMBED (RR),6,85.21607278241092
gsm8k,EMBED (RR),7,85.67096285064443
gsm8k,EMBED (RR),8,86.3532979529947
gsm8k,EMBED (RR),9,85.67096285064443
gsm8k,RDS+ (RR),0,85.82259287338894
gsm8k,RDS+ (RR),1,86.5049279757392
gsm8k,RDS+ (RR),2,86.8081880212282
gsm8k,RDS+ (RR),3,86.88400303260046
gsm8k,RDS+ (RR),4,86.73237300985596
gsm8k,RDS+ (RR),5,85.74677786201667
gsm8k,RDS+ (RR),6,85.82259287338894
gsm8k,RDS+ (RR),7,85.67096285064443
gsm8k,RDS+ (RR),8,84.91281273692191
gsm8k,RDS+ (RR),9,84.68536770280515
gsm8k,LESS (RR),0,87.11144806671722
gsm8k,LESS (RR),1,87.26307808946171
gsm8k,LESS (RR),2,85.89840788476118
gsm8k,LESS (RR),3,83.39651250947688
gsm8k,LESS (RR),4,85.82259287338894
gsm8k,LESS (RR),5,86.05003790750568
gsm8k,LESS (RR),6,86.2016679302502
gsm8k,LESS (RR),7,86.42911296436695
gsm8k,LESS (RR),8,84.98862774829416
gsm8k,LESS (RR),9,86.42911296436695
tydiqa,EMBED (RR),0,69.04289291296719
tydiqa,EMBED (RR),1,67.30106534863783
