dataset,method,num_samples,dev,test,seed
bbh,EMBED (RR),500,0.3396452709480568,6.508778830924684,0
bbh,EMBED (RR),500,0.3366336951745145,6.25178358626611,1
bbh,EMBED (RR),500,0.3362007827302556,6.188314942862467,2
bbh,EMBED (RR),1000,0.3449863574847027,6.352517197134308,0
bbh,EMBED (RR),1000,0.3388423454246403,6.224638946987191,1
bbh,EMBED (RR),1000,0.33982465885303637,6.068360628867146,2
bbh,EMBED (RR),2500,0.3480405700335532,6.496594926359247,0
bbh,EMBED (RR),2500,0.3451073094742534,6.166425963972154,1
bbh,EMBED (RR),2500,0.3456494517072483,6.383059032170971,2
bbh,EMBED (RR),5000,0.3602512571270819,7.622916529647694,0
bbh,EMBED (RR),5000,0.3615576738008746,7.378321637931168,1
bbh,EMBED (RR),5000,0.35680791321727967,7.231515012565909,2
bbh,EMBED (RR),10000,0.3609018249920121,7.429046262502487,0
bbh,EMBED (RR),10000,0.3665109279071107,8.229616958788144,1
bbh,EMBED (RR),10000,0.3609008310753622,7.886224499424012,2
bbh,LESS (DG),500,0.3156031947353004,6.402883040632196,0
bbh,LESS (DG),500,0.3169102606674035,6.45951495579248,1
bbh,LESS (DG),500,0.3157640858840795,6.4288136835948535,2
bbh,LESS (DG),1000,0.316051885853579,6.558400106849327,0
bbh,LESS (DG),1000,0.3155641588439912,6.681415664410009,1
bbh,LESS (DG),1000,0.31525366068070315,6.588248885642766,2
bbh,LESS (DG),2500,0.3127308355437385,6.632731626109216,0
bbh,LESS (DG),2500,0.3117043152451515,6.549595713107346,1
bbh,LESS (DG),2500,0.31037372732420027,6.559809783456732,2
bbh,LESS (DG),5000,0.3131072578238852,6.6432605213035805,0
bbh,LESS (DG),5000,0.3140560944599134,6.668925047076402,1
bbh,LESS (DG),5000,0.3139675094481604,6.531220671621964,2
bbh,LESS (DG),10000,0.3216069343925258,6.858550238382284,0
bbh,LESS (DG),10000,0.3168190658368446,6.85391168119885,1
bbh,LESS (DG),10000,0.3187812034638576,6.781641754315317,2
bbh,LESS (KNN-KDE),500,0.32393543390028273,6.315950404360005,0
bbh,LESS (KNN-KDE),500,0.3229982230214425,6.298485719696239,1
bbh,LESS (KNN-KDE),500,0.32421802904134917,6.3206171511120735,2
