dataset,method,num_samples,seed,true_metric
bbh,Random,500,0,71.96289114713365
bbh,Random,500,1,71.81601655172264
bbh,Random,500,2,71.66177823346293
bbh,Random,1000,0,72.40949688283389
bbh,Random,1000,1,72.03580535197119
bbh,Random,1000,2,72.67066240454137
bbh,Random,2500,0,72.22577949272443
bbh,Random,2500,1,72.1479452786427
bbh,Random,2500,2,72.09956382202759
bbh,Random,5000,0,71.6033562178842
bbh,Random,5000,1,71.57495753559097
bbh,Random,5000,2,71.29838817391624
bbh,Random,10000,0,71.19946421330768
bbh,Random,10000,1,71.48040143335348
bbh,Random,10000,2,71.13764728867807
bbh,EMBED (RR),500,0,70.95447442826959
bbh,EMBED (RR),500,1,71.05922431770922
bbh,EMBED (RR),500,2,71.5885311114385
bbh,EMBED (RR),1000,0,71.27489920923634
bbh,EMBED (RR),1000,1,71.09602234869101
bbh,EMBED (RR),1000,2,71.23559373945709
bbh,EMBED (RR),2500,0,70.97635998368825
bbh,EMBED (RR),2500,1,70.9248345070091
bbh,EMBED (RR),2500,2,71.44642836968526
bbh,EMBED (RR),5000,0,70.68552222695038
bbh,EMBED (RR),5000,1,71.00467345518004
bbh,EMBED (RR),5000,2,70.76111567009627
bbh,EMBED (RR),10000,0,70.88055880141277
bbh,EMBED (RR),10000,1,70.72216663948956
bbh,EMBED (RR),10000,2,70.82579926509344
bbh,RDS+ (RR),500,0,71.83438205234692
bbh,RDS+ (RR),500,1,71.91566980363258
bbh,RDS+ (RR),500,2,71.84660499797079
bbh,RDS+ (RR),1000,0,72.19093902992174
bbh,RDS+ (RR),1000,1,72.33093337745079
bbh,RDS+ (RR),1000,2,72.17846264679103
bbh,RDS+ (RR),2500,0,72.02758047325223
bbh,RDS+ (RR),2500,1,71.63669309048987
bbh,RDS+ (RR),2500,2,71.902260674389
bbh,RDS+ (RR),5000,0,71.80366174152988
bbh,RDS+ (RR),5000,1,71.68321985865283
bbh,RDS+ (RR),5000,2,71.86978306760287
bbh,RDS+ (RR),10000,0,71.48835991247603
bbh,RDS+ (RR),10000,1,71.57652791164367
bbh,RDS+ (RR),10000,2,71.51509895954845
bbh,LESS (DG),500,0,71.03457788598622
bbh,LESS (DG),500,1,71.56644234508589
bbh,LESS (DG),500,2,71.08331070912173
bbh,LESS (DG),1000,0,71.23300454072485
bbh,LESS (DG),1000,1,71.62007621598926
bbh,LESS (DG),1000,2,71.582036677775
bbh,LESS (DG),2500,0,72.19844301891945
bbh,LESS (DG),2500,1,72.10419325122041
bbh,LESS (DG),2500,2,72.39062105632922
bbh,LESS (DG),5000,0,72.2867876463726
bbh,LESS (DG),5000,1,71.8204896920141
bbh,LESS (DG),5000,2,71.88439871985038
bbh,LESS (DG),10000,0,71.41323125108585
bbh,LESS (DG),10000,1,72.21590259995678
bbh,LESS (DG),10000,2,71.3442277440358
bbh,LESS (UOT),500,0,71.25119914418507
bbh,LESS (UOT),500,1,71.01019062289153
bbh,LESS (UOT),500,2,70.73527249485745
bbh,LESS (UOT),1000,0,71.34999072808198
bbh,LESS (UOT),1000,1,71.24445865030934
bbh,LESS (UOT),1000,2,70.9335246796265
bbh,LESS (UOT),2500,0,71.812536944013
bbh,LESS (UOT),2500,1,71.39268843645344
bbh,LESS (UOT),2500,2,71.56847939294498
bbh,LESS (UOT),5000,0,71.67843171397755
bbh,LESS (UOT),5000,1,71.80547382458126
bbh,LESS (UOT),5000,2,71.94173461475111
bbh,LESS (UOT),10000,0,71.8891602818773
bbh,LESS (UOT),10000,1,71.74805896214328
bbh,LESS (UOT),10000,2,71.97515858820894
bbh,LESS (RR),500,0,71.81355654710055
bbh,LESS (RR),500,1,71.82684170121269
bbh,LESS (RR),500,2,71.48942479142299
bbh,LESS (RR),1000,0,71.19979497217862
bbh,LESS (RR),1000,1,71.12109146891173
bbh,LESS (RR),1000,2,71.37255750654514
bbh,LESS (RR),2500,0,71.55166173409164
bbh,LESS (RR),2500,1,71.64542802682398
bbh,LESS (RR),2500,2,71.11175121640768
bbh,LESS (RR),5000,0,71.38582636963972
bbh,LESS (RR),5000,1,71.72000375693302
bbh,LESS (RR),5000,2,71.58088658802654
bbh,LESS (RR),10000,0,71.42832848824935
bbh,LESS (RR),10000,1,71.94377166261022
bbh,LESS (RR),10000,2,71.46124507455077
bbh,LESS (KNN-Unif.),500,0,71.161800197681
bbh,LESS (KNN-Unif.),500,1,71.28914102165105
bbh,LESS (KNN-Unif.),500,2,71.23051339294493
bbh,LESS (KNN-Unif.),1000,0,71.26801680303842
bbh,LESS (KNN-Unif.),1000,1,71.0446794752963
bbh,LESS (KNN-Unif.),1000,2,70.9479249392585
bbh,LESS (KNN-Unif.),2500,0,72.07806192251141
bbh,LESS (KNN-Unif.),2500,1,71.65408972674227
bbh,LESS (KNN-Unif.),2500,2,71.60180837611328
bbh,LESS (KNN-Unif.),5000,0,71.84652603043354
bbh,LESS (KNN-Unif.),5000,1,72.13474749364799
bbh,LESS (KNN-Unif.),5000,2,72.27824776326982
bbh,LESS (KNN-Unif.),10000,0,71.99048346063891
bbh,LESS (KNN-Unif.),10000,1,72.05565574958145
bbh,LESS (KNN-Unif.),10000,2,72.05297651127312
bbh,LESS (KNN-KDE),500,0,71.72671310765092
bbh,LESS (KNN-KDE),500,1,71.2097429430461
bbh,LESS (KNN-KDE),500,2,71.07617168281547
bbh,LESS (KNN-KDE),1000,0,71.19691227905878
bbh,LESS (KNN-KDE),1000,1,70.54173926671459
bbh,LESS (KNN-KDE),1000,2,71.38007751829517
bbh,LESS (KNN-KDE),2500,0,72.13211086074038
bbh,LESS (KNN-KDE),2500,1,72.12268083692544
bbh,LESS (KNN-KDE),2500,2,71.91177779905608
bbh,LESS (KNN-KDE),5000,0,71.98239044648881
bbh,LESS (KNN-KDE),5000,1,71.68277298970015
bbh,LESS (KNN-KDE),5000,2,71.1661436317196
bbh,LESS (KNN-KDE),10000,0,71.76297143770638
bbh,LESS (KNN-KDE),10000,1,71.97071176230064
bbh,LESS (KNN-KDE),10000,2,71.81197639155972
codex,Random,500,0,92.56756756756756
codex,Random,500,1,93.91891891891892
codex,Random,500,2,91.8918918918919
codex,Random,1000,0,93.24324324324324
codex,Random,1000,1,93.24324324324324
codex,Random,1000,2,93.91891891891892
codex,Random,2500,0,90.54054054054053
codex,Random,2500,1,93.24324324324324
codex,Random,2500,2,93.24324324324324
codex,Random,5000,0,91.8918918918919
codex,Random,5000,1,93.91891891891892
codex,Random,5000,2,94.5945945945946
codex,Random,10000,0,95.27027027027027
codex,Random,10000,1,94.5945945945946
codex,Random,10000,2,93.91891891891892
codex,EMBED (RR),500,0,94.5945945945946
codex,EMBED (RR),500,1,93.24324324324324
codex,EMBED (RR),500,2,93.24324324324324
codex,EMBED (RR),1000,0,93.24324324324324
codex,EMBED (RR),1000,1,92.56756756756756
codex,EMBED (RR),1000,2,94.5945945945946
codex,EMBED (RR),2500,0,93.24324324324324
codex,EMBED (RR),2500,1,93.91891891891892
codex,EMBED (RR),2500,2,94.5945945945946
codex,EMBED (RR),5000,0,94.5945945945946
codex,EMBED (RR),5000,1,94.5945945945946
codex,EMBED (RR),5000,2,95.94594594594594
codex,EMBED (RR),10000,0,93.91891891891892
codex,EMBED (RR),10000,1,94.5945945945946
codex,EMBED (RR),10000,2,93.91891891891892
codex,RDS+ (RR),500,0,94.5945945945946
codex,RDS+ (RR),500,1,91.21621621621621
codex,RDS+ (RR),500,2,93.24324324324324
codex,RDS+ (RR),1000,0,94.5945945945946
codex,RDS+ (RR),1000,1,94.5945945945946
codex,RDS+ (RR),1000,2,95.94594594594594
codex,RDS+ (RR),2500,0,91.21621621621621
codex,RDS+ (RR),2500,1,93.91891891891892
codex,RDS+ (RR),2500,2,93.91891891891892
codex,RDS+ (RR),5000,0,95.27027027027027
codex,RDS+ (RR),5000,1,93.91891891891892
codex,RDS+ (RR),5000,2,93.91891891891892
codex,RDS+ (RR),10000,0,93.91891891891892
codex,RDS+ (RR),10000,1,95.27027027027027
codex,RDS+ (RR),10000,2,96.62162162162163
codex,LESS (DG),500,0,93.24324324324324
codex,LESS (DG),500,1,94.5945945945946
codex,LESS (DG),500,2,95.27027027027027
codex,LESS (DG),1000,0,95.27027027027027
codex,LESS (DG),1000,1,93.91891891891892
codex,LESS (DG),1000,2,92.56756756756756
codex,LESS (DG),2500,0,95.27027027027027
codex,LESS (DG),2500,1,91.8918918918919
codex,LESS (DG),2500,2,93.24324324324324
codex,LESS (DG),5000,0,95.27027027027027
codex,LESS (DG),5000,1,93.24324324324324
codex,LESS (DG),5000,2,91.8918918918919
codex,LESS (DG),10000,0,95.27027027027027
codex,LESS (DG),10000,1,93.91891891891892
codex,LESS (DG),10000,2,93.24324324324324
codex,LESS (UOT),500,0,93.91891891891892
codex,LESS (UOT),500,1,93.91891891891892
codex,LESS (UOT),500,2,95.27027027027027
codex,LESS (UOT),1000,0,93.91891891891892
codex,LESS (UOT),1000,1,93.24324324324324
codex,LESS (UOT),1000,2,94.5945945945946
codex,LESS (UOT),2500,0,91.8918918918919
codex,LESS (UOT),2500,1,93.24324324324324
codex,LESS (UOT),2500,2,93.24324324324324
codex,LESS (UOT),5000,0,92.56756756756756
codex,LESS (UOT),5000,1,93.24324324324324
codex,LESS (UOT),5000,2,93.91891891891892
codex,LESS (UOT),10000,0,93.24324324324324
codex,LESS (UOT),10000,1,90.54054054054053
codex,LESS (UOT),10000,2,95.27027027027027
codex,LESS (RR),500,0,91.21621621621621
codex,LESS (RR),500,1,92.56756756756756
codex,LESS (RR),500,2,93.91891891891892
codex,LESS (RR),1000,0,93.24324324324324
codex,LESS (RR),1000,1,94.5945945945946
codex,LESS (RR),1000,2,95.27027027027027
codex,LESS (RR),2500,0,91.8918918918919
codex,LESS (RR),2500,1,93.24324324324324
codex,LESS (RR),2500,2,93.91891891891892
codex,LESS (RR),5000,0,93.24324324324324
codex,LESS (RR),5000,1,91.8918918918919
codex,LESS (RR),5000,2,93.24324324324324
codex,LESS (RR),10000,0,95.27027027027027
codex,LESS (RR),10000,1,94.5945945945946
codex,LESS (RR),10000,2,93.24324324324324
codex,LESS (KNN-Unif.),500,0,94.5945945945946
codex,LESS (KNN-Unif.),500,1,91.8918918918919
codex,LESS (KNN-Unif.),500,2,94.5945945945946
codex,LESS (KNN-Unif.),1000,0,92.56756756756756
codex,LESS (KNN-Unif.),1000,1,93.91891891891892
codex,LESS (KNN-Unif.),1000,2,93.24324324324324
codex,LESS (KNN-Unif.),2500,0,91.8918918918919
codex,LESS (KNN-Unif.),2500,1,93.91891891891892
codex,LESS (KNN-Unif.),2500,2,94.5945945945946
codex,LESS (KNN-Unif.),5000,0,94.5945945945946
codex,LESS (KNN-Unif.),5000,1,93.24324324324324
codex,LESS (KNN-Unif.),5000,2,92.56756756756756
codex,LESS (KNN-Unif.),10000,0,92.56756756756756
codex,LESS (KNN-Unif.),10000,1,92.56756756756756
codex,LESS (KNN-Unif.),10000,2,94.5945945945946
codex,LESS (KNN-KDE),500,0,94.5945945945946
codex,LESS (KNN-KDE),500,1,95.27027027027027
codex,LESS (KNN-KDE),500,2,93.24324324324324
codex,LESS (KNN-KDE),1000,0,94.5945945945946
codex,LESS (KNN-KDE),1000,1,92.56756756756756
codex,LESS (KNN-KDE),1000,2,92.56756756756756
codex,LESS (KNN-KDE),2500,0,94.5945945945946
codex,LESS (KNN-KDE),2500,1,93.91891891891892
codex,LESS (KNN-KDE),2500,2,95.27027027027027
codex,LESS (KNN-KDE),5000,0,95.94594594594594
codex,LESS (KNN-KDE),5000,1,93.91891891891892
