dataset,method,bin,dev,test
bbh,EMBED (RR),0,0.36976251282073835,6.949023036771135
bbh,EMBED (RR),1,0.3685613711491043,6.6688055542459725
bbh,EMBED (RR),2,0.37928572531651567,6.655568523865438
bbh,EMBED (RR),3,0.3730861482060986,6.394395804234939
bbh,EMBED (RR),4,0.36912218545689995,6.807491114430302
bbh,EMBED (RR),5,0.3677814968942124,6.314781655420852
bbh,EMBED (RR),6,0.3695792854292157,6.4755348587911294
bbh,EMBED (RR),7,0.3776061728504705,6.12016278695738
bbh,EMBED (RR),8,0.37059164773902775,6.326491761841068
bbh,EMBED (RR),9,0.38162626422665735,6.227673439262943
bbh,LESS (RR),0,0.32904899281300143,7.480281624179193
bbh,LESS (RR),1,0.35969863312295924,6.063100221253745
bbh,LESS (RR),2,0.35457644924337484,6.396738439784624
bbh,LESS (RR),3,0.36505169724976577,6.59342970836732
bbh,LESS (RR),4,0.374241905355895,5.876900117109126
bbh,LESS (RR),5,0.38156596364246476,6.3071541948227665
bbh,LESS (RR),6,0.37618465900973036,6.3637775482898515
bbh,LESS (RR),7,0.3915182060021677,6.394889451880331
bbh,LESS (RR),8,0.39880969081028006,6.318690590733227
bbh,LESS (RR),9,0.39706779634694994,6.4718365690855
bbh,RDS+ (RR),0,0.35239377056742893,7.62058631652622
bbh,RDS+ (RR),1,0.37440946183086915,6.581703814213735
bbh,RDS+ (RR),2,0.37798548779553837,6.431774992617644
bbh,RDS+ (RR),3,0.374824154984068,6.293455692154895
bbh,RDS+ (RR),4,0.3647093616977886,6.539059884710038
bbh,RDS+ (RR),5,0.36328794448464,6.425079260475166
bbh,RDS+ (RR),6,0.37141121951518236,5.9601014123737786
bbh,RDS+ (RR),7,0.3692795568962156,6.219423575182332
bbh,RDS+ (RR),8,0.3820679110049466,6.228446012111949
bbh,RDS+ (RR),9,0.372319657171582,6.52514401796391
codex,EMBED (RR),0,0.6787790320813656,0.8039036592518961
codex,EMBED (RR),1,0.6291651856154203,0.7343432083725929
codex,EMBED (RR),2,0.6120193339884281,0.7218454961438436
codex,EMBED (RR),3,0.6080268695950508,0.7093952938511565
codex,EMBED (RR),4,0.6816876232624054,0.7891424579193463
codex,EMBED (RR),5,0.7192967981100082,0.8330733358255915
codex,EMBED (RR),6,0.7211941424757242,0.8229329810553306
codex,EMBED (RR),7,0.7097458615899086,0.8131573176061785
codex,EMBED (RR),8,0.716693876311183,0.8215253189004756
codex,EMBED (RR),9,0.7077058851718903,0.8055294374557765
codex,LESS (RR),0,0.6171121969819069,0.7274694501145466
codex,LESS (RR),1,0.5865163765847683,0.6941248629544232
codex,LESS (RR),2,0.6266396753489971,0.7287198642419802
codex,LESS (RR),3,0.6278970651328564,0.7337907326181192
codex,LESS (RR),4,0.6360244862735271,0.750548884574626
codex,LESS (RR),5,0.6668218597769737,0.768362432919644
codex,LESS (RR),6,0.6644490770995617,0.765859468563183
codex,LESS (RR),7,0.6767884660512209,0.7894320133570079
codex,LESS (RR),8,0.7046482972800732,0.8097348698490375
codex,LESS (RR),9,0.7106591295450926,0.8296732236001942
codex,RDS+ (RR),0,0.6365782972425222,0.7630716891506234
codex,RDS+ (RR),1,0.6491641774773598,0.7615716800697752
codex,RDS+ (RR),2,0.63699571788311,0.7461111287812929
codex,RDS+ (RR),3,0.5841417852789164,0.6865658905055072
codex,RDS+ (RR),4,0.5780520588159561,0.6771159884897439
codex,RDS+ (RR),5,0.6378672122955322,0.7375040659429254
codex,RDS+ (RR),6,0.6957480367273092,0.8011524012765369
codex,RDS+ (RR),7,0.7752354834228754,0.8781524450593704
codex,RDS+ (RR),8,0.7490176279097795,0.8387636646024279
codex,RDS+ (RR),9,0.7335367761552334,0.8227408641093487
gsm8k,EMBED (RR),0,0.9136366993188858,8.595025332612103
gsm8k,EMBED (RR),1,0.974697895348072,7.883985871523958
gsm8k,EMBED (RR),2,0.9700009673833847,8.223478169401456
gsm8k,EMBED (RR),3,0.9451791793107986,8.47255898859575
gsm8k,EMBED (RR),4,0.9498560056090355,8.41314601862042
gsm8k,EMBED (RR),5,0.9599607288837433,8.715617417385399
gsm8k,EMBED (RR),6,0.9627890512347221,8.48830832885557
gsm8k,EMBED (RR),7,0.9620808139443398,8.153644076977109
gsm8k,EMBED (RR),8,0.9704683870077133,7.960966194462288
gsm8k,EMBED (RR),9,0.9869276285171509,7.885639036307288
gsm8k,LESS (RR),0,0.7844070941209793,9.309558973247306
gsm8k,LESS (RR),1,0.9047275483608246,8.089357329101794
gsm8k,LESS (RR),2,0.9206063076853752,8.549964301056534
gsm8k,LESS (RR),3,0.9344540685415268,7.991619387027257
gsm8k,LESS (RR),4,0.9377559423446655,8.336234637152705
gsm8k,LESS (RR),5,0.9480657652020454,8.38174647106376
gsm8k,LESS (RR),6,0.9580588862299919,8.077810981221232
gsm8k,LESS (RR),7,0.9603143632411957,8.018307512325261
gsm8k,LESS (RR),8,0.9631654620170593,8.047844912808804
gsm8k,LESS (RR),9,0.9922769740223885,7.782162866599638
gsm8k,RDS+ (RR),0,0.8617257624864578,9.704388689687525
gsm8k,RDS+ (RR),1,0.9688081964850426,8.90531345169322
gsm8k,RDS+ (RR),2,0.9627726301550865,8.842221869222136
gsm8k,RDS+ (RR),3,0.9424927979707718,8.569625085190085
gsm8k,RDS+ (RR),4,0.953017346560955,8.950483157293105
gsm8k,RDS+ (RR),5,0.9797026962041855,8.537529989116747
gsm8k,RDS+ (RR),6,0.9676315933465958,7.853331698532625
gsm8k,RDS+ (RR),7,1.008141078054905,8.02638435580678
gsm8k,RDS+ (RR),8,1.0302339494228363,8.090422038149887
gsm8k,RDS+ (RR),9,1.012213446199894,8.73639771285791
mmlu_pro,EMBED (RR),0,1.9861219891480038,5.0180050898343325
mmlu_pro,EMBED (RR),1,1.955652391910553,5.0639353374990215
mmlu_pro,EMBED (RR),2,1.9529901691845486,4.90826208801306
mmlu_pro,EMBED (RR),3,1.9212003801550184,4.738605534063375
mmlu_pro,EMBED (RR),4,1.9366170253072466,4.657061084540204
mmlu_pro,EMBED (RR),5,1.9372551543372019,4.759062576573342
mmlu_pro,EMBED (RR),6,1.933577219929014,4.829286202897338
mmlu_pro,EMBED (RR),7,1.9625562557152338,4.6614635660649935
mmlu_pro,EMBED (RR),8,1.9593409512724196,3.9773475658445756
mmlu_pro,EMBED (RR),9,1.9448038075651441,3.7645729535774506
mmlu_pro,LESS (RR),0,1.7548218837806158,4.464027091474372
mmlu_pro,LESS (RR),1,1.9293234705924989,4.3368713333211995
mmlu_pro,LESS (RR),2,1.9449040463992529,4.354636533076855
mmlu_pro,LESS (RR),3,1.919855273621423,4.233055293322243
mmlu_pro,LESS (RR),4,1.9490388546671187,4.48982198982242
mmlu_pro,LESS (RR),5,1.9474355740206581,4.2939440446132995
mmlu_pro,LESS (RR),6,1.9690287717751094,4.518306213232907
mmlu_pro,LESS (RR),7,1.9511462373392923,4.864521918788632
mmlu_pro,LESS (RR),8,1.9866900035313197,4.775408589380219
mmlu_pro,LESS (RR),9,2.0076533487864903,5.0772619115961515
mmlu_pro,RDS+ (RR),0,1.9977758850370135,5.376240514268345
mmlu_pro,RDS+ (RR),1,1.9731298804283142,4.93377296608734
mmlu_pro,RDS+ (RR),2,1.983371672460011,5.138525459251585
mmlu_pro,RDS+ (RR),3,1.9519995502063205,5.278725727045155
mmlu_pro,RDS+ (RR),4,1.96070881826537,5.340162828396213
mmlu_pro,RDS+ (RR),5,1.9402902901172638,5.276637403462875
mmlu_pro,RDS+ (RR),6,1.9476821081978934,4.649831505244637
mmlu_pro,RDS+ (RR),7,1.9610525718757084,4.063569957192274
mmlu_pro,RDS+ (RR),8,1.951680805853435,3.5928396925409425
mmlu_pro,RDS+ (RR),9,1.974104802097593,3.0426947020608535
tydiqa,EMBED (RR),0,2.0396615068117776,1.9292737643806948
tydiqa,EMBED (RR),1,2.4047407110532126,2.074598621475766
tydiqa,EMBED (RR),2,2.4813256793551974,2.168810955836697
tydiqa,EMBED (RR),3,2.570015013217926,2.1613348482812462
tydiqa,EMBED (RR),4,2.390268246332804,2.087602500417628
tydiqa,EMBED (RR),5,2.74218389723036,2.351098818321831
tydiqa,EMBED (RR),6,2.6844093335999384,2.296066921639447
tydiqa,EMBED (RR),7,2.740325629711151,2.4476133234812116
