dataset,method,bin,true_metric
bbh,EMBED (RR),0,61.42872369175188
bbh,EMBED (RR),1,61.66265664366688
bbh,EMBED (RR),2,61.06343228998574
bbh,EMBED (RR),3,61.1859662760694
bbh,EMBED (RR),4,60.558304207499766
bbh,EMBED (RR),5,60.75323256131775
bbh,EMBED (RR),6,60.046541693466516
bbh,EMBED (RR),7,60.81309140562552
bbh,EMBED (RR),8,60.94316358452746
bbh,EMBED (RR),9,59.36426224477723
bbh,RDS+ (RR),0,60.78414630358061
bbh,RDS+ (RR),1,61.069355611299855
bbh,RDS+ (RR),2,60.31143504141178
bbh,RDS+ (RR),3,61.13521242782711
bbh,RDS+ (RR),4,60.60268519501653
bbh,RDS+ (RR),5,60.21248233983886
bbh,RDS+ (RR),6,60.085003920178515
bbh,RDS+ (RR),7,60.76138063081541
bbh,RDS+ (RR),8,59.6436893630965
bbh,RDS+ (RR),9,60.57343780679981
bbh,LESS (RR),0,59.389928279587764
bbh,LESS (RR),1,61.54070328115544
bbh,LESS (RR),2,60.67305229437977
bbh,LESS (RR),3,60.843782975478156
bbh,LESS (RR),4,60.51141793950149
bbh,LESS (RR),5,60.19975989649594
bbh,LESS (RR),6,60.908630748813984
bbh,LESS (RR),7,60.29934207030604
bbh,LESS (RR),8,59.76043675779119
bbh,LESS (RR),9,59.435479696237145
codex,EMBED (RR),0,79.05405405405406
codex,EMBED (RR),1,82.43243243243244
codex,EMBED (RR),2,72.2972972972973
codex,EMBED (RR),3,79.72972972972973
codex,EMBED (RR),4,78.37837837837837
codex,EMBED (RR),5,81.08108108108108
codex,EMBED (RR),6,75.0
codex,EMBED (RR),7,77.02702702702703
codex,EMBED (RR),8,76.35135135135135
codex,EMBED (RR),9,77.02702702702703
codex,RDS+ (RR),0,80.4054054054054
codex,RDS+ (RR),1,77.7027027027027
codex,RDS+ (RR),2,77.02702702702703
codex,RDS+ (RR),3,79.05405405405406
codex,RDS+ (RR),4,75.0
codex,RDS+ (RR),5,77.7027027027027
codex,RDS+ (RR),6,77.02702702702703
codex,RDS+ (RR),7,81.75675675675676
codex,RDS+ (RR),8,79.72972972972973
codex,RDS+ (RR),9,81.75675675675676
codex,LESS (RR),0,73.64864864864865
codex,LESS (RR),1,77.02702702702703
codex,LESS (RR),2,75.0
codex,LESS (RR),3,73.64864864864865
codex,LESS (RR),4,75.0
codex,LESS (RR),5,77.02702702702703
codex,LESS (RR),6,77.7027027027027
codex,LESS (RR),7,80.4054054054054
codex,LESS (RR),8,80.4054054054054
codex,LESS (RR),9,77.7027027027027
gsm8k,EMBED (RR),0,10.462471569370734
gsm8k,EMBED (RR),1,75.43593631539045
gsm8k,EMBED (RR),2,59.893858984078854
gsm8k,EMBED (RR),3,34.72327520849128
gsm8k,EMBED (RR),4,75.5117513267627
gsm8k,EMBED (RR),5,76.11827141774071
