dataset,method,num_samples,dev,test,seed
bbh,EMBED (RR),500,0.3701864812569118,6.952689255625948,0
bbh,EMBED (RR),500,0.37170963766582216,6.846854416827163,1
bbh,EMBED (RR),500,0.37495954481907834,6.752691765989399,2
bbh,EMBED (RR),1000,0.368240133203842,7.0696247264438465,0
bbh,EMBED (RR),1000,0.3661187392785961,7.032592858381671,1
bbh,EMBED (RR),1000,0.36717701408966086,7.0971667026891225,2
bbh,EMBED (RR),2500,0.36034364924754625,7.338903287445376,0
bbh,EMBED (RR),2500,0.36147058571194424,7.40454693804357,1
bbh,EMBED (RR),2500,0.36176209933595893,7.354920538179227,2
bbh,EMBED (RR),5000,0.35906945725466,7.538917651924921,0
bbh,EMBED (RR),5000,0.36066467439134914,7.5989131923279185,1
bbh,EMBED (RR),5000,0.3611032715826123,7.704215060271274,2
bbh,EMBED (RR),10000,0.3603410531341294,7.7156374119719935,0
bbh,EMBED (RR),10000,0.3612497654961951,7.917624147572544,1
bbh,EMBED (RR),10000,0.36224068765654976,7.798910331156668,2
bbh,LESS (DG),500,0.32824998206378503,7.710561098370972,0
bbh,LESS (DG),500,0.3287849473180594,7.750796272382632,1
bbh,LESS (DG),500,0.32846204849121013,7.636102166918818,2
bbh,LESS (DG),1000,0.3305624086915711,8.306658398782835,0
bbh,LESS (DG),1000,0.3293141984369284,8.444028403513297,1
bbh,LESS (DG),1000,0.3303144843214088,8.41322771988602,2
bbh,LESS (DG),2500,0.33767739885751114,8.756552463851387,0
bbh,LESS (DG),2500,0.33796632952160305,8.798005245107602,1
bbh,LESS (DG),2500,0.3374956948797644,8.64001426287024,2
bbh,LESS (DG),5000,0.3425011321166415,8.971453471797858,0
bbh,LESS (DG),5000,0.34243520353863266,9.025231637688867,1
bbh,LESS (DG),5000,0.343571637423686,9.131598802192148,2
bbh,LESS (DG),10000,0.34196967042890597,8.854941333334414,0
bbh,LESS (DG),10000,0.3412804226908419,8.729274239266932,1
bbh,LESS (DG),10000,0.3438221475592366,8.792443236417071,2
bbh,LESS (KNN-KDE),500,0.32657665395994245,7.390586975166058,0
bbh,LESS (KNN-KDE),500,0.3273332132325496,7.618303288889451,1
bbh,LESS (KNN-KDE),500,0.32635729341411296,7.508700595219149,2
bbh,LESS (KNN-KDE),1000,0.32773827411878254,8.43311902660504,0
bbh,LESS (KNN-KDE),1000,0.33036540057740094,8.212384882088246,1
bbh,LESS (KNN-KDE),1000,0.3278408857683341,8.319732585410664,2
