dataset,method,num_samples,seed,true_metric
bbh,Random,500,0,60.717399078075964
bbh,Random,500,1,61.30504534704121
bbh,Random,500,2,60.06764773101092
bbh,Random,1000,0,61.1498424810415
bbh,Random,1000,1,61.400965041591945
bbh,Random,1000,2,61.43086680193941
bbh,Random,2500,0,61.132628448073575
bbh,Random,2500,1,61.44582188290324
bbh,Random,2500,2,60.89762845889566
bbh,Random,5000,0,61.78564016916198
bbh,Random,5000,1,61.72526364606691
bbh,Random,5000,2,60.17105005088963
bbh,Random,10000,0,61.71842549144289
bbh,Random,10000,1,61.88909805653097
bbh,Random,10000,2,61.12189828887309
bbh,EMBED (RR),500,0,60.82449769083058
bbh,EMBED (RR),500,1,61.06182314960304
bbh,EMBED (RR),500,2,60.81653654124929
bbh,EMBED (RR),1000,0,61.595235182208356
bbh,EMBED (RR),1000,1,61.022871448537586
bbh,EMBED (RR),1000,2,61.55005115483165
bbh,EMBED (RR),2500,0,61.15764251294677
bbh,EMBED (RR),2500,1,61.45420331878879
bbh,EMBED (RR),2500,2,61.707820087781876
bbh,EMBED (RR),5000,0,61.24101207580823
bbh,EMBED (RR),5000,1,61.462243435907304
bbh,EMBED (RR),5000,2,61.28388425414928
bbh,EMBED (RR),10000,0,61.942388986881916
bbh,EMBED (RR),10000,1,60.91145025327136
bbh,EMBED (RR),10000,2,60.94941871338578
bbh,RDS+ (RR),500,0,61.37609697398921
bbh,RDS+ (RR),500,1,61.324219618646914
bbh,RDS+ (RR),500,2,61.220323263905385
bbh,RDS+ (RR),1000,0,62.230195626648296
bbh,RDS+ (RR),1000,1,61.89413963871314
bbh,RDS+ (RR),1000,2,61.688893522561564
bbh,RDS+ (RR),2500,0,61.80806185270148
bbh,RDS+ (RR),2500,1,61.9392973517067
bbh,RDS+ (RR),2500,2,62.46598569359663
bbh,RDS+ (RR),5000,0,61.577905575689165
bbh,RDS+ (RR),5000,1,61.74640388743187
bbh,RDS+ (RR),5000,2,62.03238509185326
bbh,RDS+ (RR),10000,0,61.415901429344736
bbh,RDS+ (RR),10000,1,61.147705101975404
bbh,RDS+ (RR),10000,2,61.28472938726722
bbh,LESS (DG),500,0,59.22879369069376
bbh,LESS (DG),500,1,58.50097860422989
bbh,LESS (DG),500,2,59.04452363756838
bbh,LESS (DG),1000,0,59.80113110998134
bbh,LESS (DG),1000,1,59.599100604136424
bbh,LESS (DG),1000,2,58.062991450904434
bbh,LESS (DG),2500,0,58.95410508797683
bbh,LESS (DG),2500,1,59.199594638999244
bbh,LESS (DG),2500,2,59.26537464630521
bbh,LESS (DG),5000,0,58.85418999697989
bbh,LESS (DG),5000,1,59.25011323080296
bbh,LESS (DG),5000,2,59.17645155359574
bbh,LESS (DG),10000,0,60.380203292023225
bbh,LESS (DG),10000,1,60.242063901211566
bbh,LESS (DG),10000,2,60.53356176120167
bbh,LESS (UOT),500,0,58.530853781928926
bbh,LESS (UOT),500,1,58.30817439912317
bbh,LESS (UOT),500,2,58.567022340673525
bbh,LESS (UOT),1000,0,58.641366655414785
bbh,LESS (UOT),1000,1,59.128796961700836
bbh,LESS (UOT),1000,2,58.79174717291858
bbh,LESS (UOT),2500,0,59.655717767631856
bbh,LESS (UOT),2500,1,59.21524480744394
bbh,LESS (UOT),2500,2,58.91921224028531
bbh,LESS (UOT),5000,0,59.81748587712972
